,Money raised,Pre-money valuation
4556,"£2,600,000",—
4557,—,—
4558,"€50,000",—
4559,"$50,000",—
4560,—,—
4561,"$40,000,000",—
4562,"CN¥3,000,000",—
4563,"$50,000,000",—
4564,—,—
4565,"$18,750",—
4566,—,—
4567,—,—
4568,"€50,000",—
4569,"$600,000",—
4570,"€150,000",—
4571,"$25,000,000",—
4572,"$2,568,912",—
4573,"$10,000,000",—
4574,"$1,100,000",—
4575,"$250,000",—
4576,"$3,200,000",—
4577,—,—
4578,—,—
4579,—,—
4580,"$21,000,000",—
4581,"$150,000",—
4582,"$650,000",—
4583,"$6,500,000",—
4584,"$56,000",—
4585,—,—
4586,"$300,000",—
4587,"$1,260,000",—
4588,"CN¥10,000,000",—
4589,"$13,400,000",—
4590,"CN¥17,000,000",—
4591,"$89,000,000",—
4592,"A$300,000",—
4593,"$25,000,000",—
4594,"$11,000,000",—
4595,"CHF30,000,000",—
4596,"€6,800,000",—
4597,"€12,000,000",—
4598,"$2,000,000",—
4599,"$30,000,000",—
4600,"$2,000,000",—
4601,"$8,500,000",—
4602,"¥511,490,000",—
4603,—,—
4604,—,—
4605,—,—
4606,"$700,000",—
4607,"€450,000",—
4608,"$24,000,000",—
4609,"CN¥3,000,000",—
4610,"$3,248,047",—
4611,"$2,400,000",—
4612,—,—
4613,"$17,000",—
4614,—,—
4615,—,—
4616,—,—
4617,—,—
4618,—,—
4619,"$100,000",—
4620,"$100,000",—
4621,"$765,000",—
4622,"$2,000,000",—
4623,"£350,000",—
4624,"$1,500,000",—
4625,"CN¥1,000,000",—
4626,"CN¥3,000,000",—
4627,—,—
4628,"CN¥20,000,000",—
4629,"$17,000,000",—
4630,"£1,900,000",—
4631,"$250,000",—
4632,—,—
4633,"$45,000",—
4634,—,—
4635,—,—
4636,—,—
4637,"$150,000",—
4638,"$2,000,000",—
4639,"€1,000,000",—
4640,"$185,000",—
4641,—,—
4642,—,—
4643,"$30,000,000",—
4644,"$19,900,000",—
4645,"$1,285,000",—
4646,"$100,000",—
4647,"$100,000",—
4648,"$5,065,000",—
4649,"$1,000,000",—
4650,—,—
4651,"$55,000",—
4652,"$1,000,000",—
4653,"$1,781,212",—
4654,"$394,000,000","$1,106,000,000"
4655,"$400,000",—
4656,"CN¥10,000,000",—
4657,"$18,927",—
4658,"CN¥3,000,000",—
4659,"$5,000,000",—
4660,"$149,549,998","$450,000,000"
4661,"$5,000,000",—
4662,"$8,626,048",—
4663,"$35,000",—
4664,"$4,500,000",—
4665,"$2,000,000",—
4666,"$928,200",—
4667,—,—
4668,"$1,100,000",—
4669,—,—
4670,"$5,175,000",—
4671,"$2,602,187",—
4672,"£186,000","£2,193,472"
4673,—,—
4674,"CN¥10,000,000",—
4675,"$298,000",—
4676,"$50,000,000",—
4677,"$2,700,000",—
4678,"$100,000",—
4679,"$25,000",—
4680,"$18,400,000",—
4681,"$225,000",—
4682,—,—
4683,"$45,000,000",—
4684,—,—
4685,"$10,000,000",—
4686,"CA$800,000",—
4687,—,—
4688,"$1,900,000",—
4689,"€1,300,000",—
4690,"$10,000,000",—
4691,"$56,500,000",—
4692,"$2,500,000",—
4693,"$75,000,000",—
4694,"$126,550",—
4695,"$499,998",—
4696,"$38,000,000",—
4697,"€3,100,000",—
4698,—,—
4699,"€67,200",—
4700,—,—
4701,"$8,834,613",—
4702,"$37,500,000",—
4703,"€110,000",—
4704,"$70,000",—
4705,"$9,000,000",—
4706,"€1,000,000",—
4707,"$700,000",—
4708,"$2,106,922",—
4709,"$100,000,000",—
4710,"$1,150,000",—
4711,"$307,000",—
4712,"¥12,000,000",—
4713,"$25,000,000",—
4714,"$10,000",—
4715,"$599,999",—
4716,"CN¥3,000,000",—
4717,"$34,303,977","$215,700,000"
4718,"$150,000",—
4719,"$30,000",—
4720,—,—
4721,"$20,000,000",—
4722,—,—
4723,"$36,000,000",—
4724,"$8,199,999",—
4725,—,—
4726,"$15,000,000",—
4727,"CN¥25,000,000",—
4728,"CHF20,000",—
4729,"$32,000,000",—
4730,"$2,868,055",—
4731,"$250,000",—
4732,"$600,000",—
4733,"CHF20,000",—
4734,—,—
4735,"$48,000,000",—
4736,"$222,950",—
4737,"$12,500,000",—
4738,"A$355,000",—
4739,—,—
4740,"CN¥1,000,000",—
4741,"CN¥3,000,000",—
4742,"CN¥50,000,000",—
4743,—,—
4744,"$32,500,000","$1,717,000,000"
4745,"$1,000,000",—
4746,"$2,759,615",—
4747,"$250,000",—
4748,"€1,500,000",—
4749,"$100,000",—
4750,"$500,000",—
4751,"CN¥10,000,000",—
4752,"$25,000",—
4753,"$995,290",—
4754,"$1,400,000",—
4755,"$14,000,000",—
4756,"$10,000",—
4757,"$6,500",—
4758,"$1,100,000",—
4759,"$980,000",—
4760,"$7,200,000",—
4761,"$236,000",—
4762,—,—
4763,"€150,000",—
4764,"$265,000",—
4765,"CN¥3,000,000",—
4766,"$3,000,000",—
4767,"£30,000",—
4768,"€5,000,000",—
4769,"R$50,000","R$200,000"
4770,"£552,860","£4,899,719"
4771,"$100,000",—
4772,"$2,240,000",—
4773,"CN¥30,000,000",—
4774,"$65,598",—
4775,"$270,000",—
4776,"$60,000,000",—
4777,"$10,000",—
4778,—,—
4779,"$200,000",—
4780,"CN¥3,000,000",—
4781,"$25,000",—
4782,"€1,035,033",—
4783,"$20,000",—
4784,"$2,000,000",—
4785,"$75,000",—
4786,—,—
4787,"€31,300,000",—
4788,"$750,000",—
4789,"$39,500,000",—
4790,—,—
4791,"€25,000",—
4792,"$100,000",—
4793,—,—
4794,"$400,000",—
4795,"$1,499,999",—
4796,"€28,000,000",—
4797,—,—
4798,"CN¥3,000,000",—
4799,"CA$5,682,000",—
4800,"$500,000",—
4801,"$5,196,410",—
4802,—,—
4803,"$3,300,000",—
4804,"$400,025",—
4805,—,—
4806,—,—
4807,"$100,000",—
4808,"$14,999,999",—
4809,"$3,700,000",—
4810,"$21,000,000",—
4811,"$850,000",—
4812,"A$2,300,000",—
4813,"$40,000,000",—
4814,"$300,000","$1,500,000"
4815,—,—
4816,"€5,800,000",—
4817,"$65,000,000",—
4818,"€100,000",—
4819,"$2,000,000",—
4820,"$1,700,000",—
4821,"$1,300,000",—
4822,"$225,000",—
4823,"$1,000,000",—
4824,"€330,000",—
4825,—,—
4826,"CN¥20,000,000",—
4827,—,—
4828,"$3,000,000","$3,000,000"
4829,"$6,000",—
4830,"$245,000",—
4831,"$352,000",—
4832,"$500,000",—
4833,"$1,000,000",—
4834,"£75,230",—
4835,"$250,000",—
4836,"$1,700,700",—
4837,"$100,000",—
4838,"£1,500,000",—
4839,"$4,368,070",—
4840,"$250,000",—
4841,"$1,085,627",—
4842,"$2,590,000",—
4843,"$1,400,000",—
4844,—,—
4845,"$1,000,000",—
4846,"$2,000,000",—
4847,"$1,339,440",—
4848,"$3,500,000",—
4849,"$16,500,000",—
4850,"$7,500,000",—
4851,"$1,700,000",—
4852,—,—
4853,"$3,500,000",—
4854,"CN¥10,000,000",—
4855,"$624,234",—
4856,"$809,132",—
4857,"$17,000,000",—
4858,"$12,000,000",—
4859,"$35,000,000","$300,000,000"
4860,"$71,300",—
4861,"€200,000",—
4862,"$300,000",—
4863,"$10,000,000","$27,800,000"
4864,"$1,000,000",—
4865,"$57,000,000",—
4866,"$140,000",—
4867,—,—
4868,—,—
4869,"CA$5,000,000",—
4870,—,—
4871,—,—
4872,"$17,600,000",—
4873,—,—
4874,"CN¥20,000,000",—
4875,"CN¥20,000,000",—
4876,—,—
4877,"$42,000,000",—
4878,"$3,000,000",—
4879,"$1,493,232",—
4880,"£4,600,000","£40,000,000"
4881,"CN¥20,000,000",—
4882,"CN¥4,000,000",—
4883,"CN¥12,000,000",—
4884,"CN¥100,000,000",—
4885,"₹30,000,000",—
4886,—,—
4887,"$300,000",—
4888,"CN¥2,000,000",—
4889,—,—
4890,—,—
4891,—,—
4892,"$500,000",—
4893,"€50,000",—
4894,"$1,050,000",—
4895,"$4,250,000",—
4896,"€50,000",—
4897,"£650,000",—
4898,"$70,000,000",—
4899,"$100,000,000",—
4900,"€50,000",—
4901,—,—
4902,"€1,000,000","€12,000,000"
4903,"$700,000",—
4904,"€50,000",—
4905,"$600,000","$4,700,000"
4906,"$55,000,000",—
4907,"$425,000",—
4908,"£99,079",—
4909,—,—
4910,"€50,000",—
4911,"£150,000",—
4912,"€50,000",—
4913,"£98,160",—
4914,—,—
4915,"£83,911",—
4916,—,—
4917,"€570,000",—
4918,"PLN8,000,000",—
4919,—,—
4920,—,—
4921,—,—
4922,—,—
4923,"$1,775,000",—
4924,"€247,872",—
4925,"$50,000",—
4926,—,—
4927,"$43,000",—
4928,—,—
4929,"£49,986",—
4930,"$610,000",—
4931,—,—
4932,"$100,000",—
4933,—,—
4934,"$100,000",—
4935,"$10,000",—
4936,"€35,000",—
4937,"R$3,900,000",—
4938,"$150,000",—
4939,—,—
4940,—,—
4941,—,—
4942,—,—
4943,"€4,500,000",—
4944,"€32,000",—
4945,—,—
4946,—,—
4947,"$800,000",—
4948,"€50,000",—
4949,"$15,000",—
4950,"€50,000",—
4951,"$45,000",—
4952,—,—
4953,"€50,000",—
4954,"$30,000",—
4955,"$11,700,000",—
4956,"$750,000",—
4957,"$3,000,000",—
4958,"$500,000",—
4959,"$2,400,000",—
4960,"£740,882",—
4961,"$6,000,000",—
4962,"$500,000",—
4963,—,—
4964,—,—
4965,"€50,000",—
4966,"£93,420",—
4967,"$90,000",—
4968,"$20,000",—
4969,"$2,500,000",—
4970,—,—
4971,"$1,700,000",—
4972,"A$100,000",—
4973,"$1,200,000",—
4974,"$19,000,000",—
4975,"$135,000",—
4976,—,—
4977,—,—
4978,"$747,666",—
4979,"$10,000,000",—
4980,"$22,000,000",—
4981,"CN¥6,000,000",—
4982,"CN¥10,000,000",—
4983,"$570,000",—
4984,"$1,700,000",—
4985,"CN¥3,000,000",—
4986,"$175,000",—
4987,"$3,000,000",—
4988,"$13,058,784",—
4989,"$1,096,250",—
4990,—,—
4991,"$2,719,000",—
4992,"$23,284,490",—
4993,—,—
4994,"$3,000,000",—
4995,"CN¥3,000,000",—
4996,"$1,500,000",—
4997,"$1,400,000",—
4998,"$577,000",—
4999,"$22,400,000",—
5000,"$15,000,000",—
5001,"$28,400,000",—
5002,"$500,000",—
5003,"$1,600,000",—
5004,"$75,000",—
5005,"$1,400,000",—
5006,"$3,300,000",—
5007,"$5,278,000",—
5008,"$14,625,000",—
5009,—,—
5010,"$150,030",—
5011,"$5,000,000",—
5012,—,—
5013,"CHF100,000",—
5014,"$2,000,000",—
5015,"$15,000,000",—
5016,"$38,000,000",—
5017,"$12,000,000",—
5018,"$30,000",—
5019,"$6,285,700",—
5020,"$653,951",—
5021,"$4,000,000",—
5022,"$1,000,000",—
5023,"$1,700,000",—
5024,"CN¥10,000,000",—
5025,"$18,690,000",—
5026,"$37,999,991",—
5027,"$5,000,000",—
5028,"$9,400,000",—
5029,"$9,423,860",—
5030,—,—
5031,—,—
5032,—,—
5033,"CN¥50,000,000",—
5034,"$2,550,000",—
5035,"$150,000",—
5036,"$3,000,000",—
5037,—,—
5038,"$2,025,000",—
5039,—,—
5040,"$20,000",—
5041,—,—
5042,"$745,000",—
5043,—,—
5044,—,—
5045,—,—
5046,"$3,000,000",—
5047,"$15,000,000",—
5048,"$5,300,000",—
5049,"$1,929,213",—
5050,"$30,000",—
5051,"$158,308",—
5052,"$2,550,000",—
5053,—,—
5054,"$20,000",—
5055,—,—
5056,"$50,000",—
5057,"$50,000",—
5058,"$120,000",—
5059,"¥499,998,000",—
5060,"$255,000",—
5061,"$2,500,000",—
5062,"$620,000",—
5063,"$10,000,000",—
5064,"$1,320,000",—
5065,"$1,077,500",—
5066,"$335,000",—
5067,"$27,500,000",—
5068,"$500,000",—
5069,—,—
5070,"€225,968",—
5071,"CN¥10,000,000",—
5072,—,—
5073,—,—
5074,"$5,000,000",—
5075,"$500,000",—
5076,"$300,000",—
5077,"$2,465,000",—
5078,—,—
5079,"$183,000",—
5080,"$10,000,000",—
5081,—,—
5082,"$3,000,000",—
5083,"$558,934",—
5084,—,—
5085,"$55,000,000",—
5086,"$450,000",—
5087,"$2,600,000",—
5088,"£1,250,000",—
5089,"$130,000,000","$1,670,000,000"
5090,—,—
5091,"$17,477,051",—
5092,"$1,034,080",—
5093,"$25,000",—
5094,"$20,002,700",—
5095,"$462,500","$4,000,000"
5096,"$32,500,000",—
5097,—,—
5098,"$205,480",—
5099,"$120,143",—
5100,"$22,500,000",—
5101,"$10,000,000",—
5102,"$842,400",—
5103,"$3,000,000",—
5104,"CN¥150,000,000",—
5105,"DKK883,362",—
5106,"€750,000",—
5107,"$2,803,022",—
5108,"$5,300,000",—
5109,"CN¥1,112,000,000",—
5110,"$5,011",—
5111,—,—
5112,"$1,000,000",—
5113,"$1,200,000",—
5114,"$120,000",—
5115,"$120,000",—
5116,—,—
5117,"$8,000,000",—
5118,"£1,850,000",—
5119,"$1,000,000",—
5120,"$66,000,000",—
5121,"$10,663,730",—
5122,"$250,000",—
5123,"$44,000,000",—
5124,"$120,000",—
5125,"$627,439",—
5126,—,—
5127,—,—
5128,"$120,000",—
5129,—,—
5130,"$15,350,000",—
5131,"$7,000,000",—
5132,"$120,000",—
5133,"$21,300,000",—
5134,"$245,029",—
5135,"$250,000",—
5136,"$3,000,100",—
5137,"$5,748,335",—
5138,"£153,479",—
5139,"$834,978",—
5140,—,—
5141,—,—
5142,—,—
5143,"$3,000,000",—
5144,"$30,000",—
5145,"£2,100,000",—
5146,"$1,200,000",—
5147,—,—
5148,—,—
5149,"$325,000",—
5150,"$25,000",—
5151,"$6,596,565",—
5152,"€80,000",—
5153,"$100,000,000",—
5154,"$75,000",—
5155,—,—
5156,"$66,000",—
5157,"CN¥30,000,000",—
5158,"$560,000",—
5159,"$1,200,000",—
5160,"$35,000",—
5161,"£644,267",—
5162,"$500,000",—
5163,"$4,221,097",—
5164,"$500,000",—
5165,"$150,000,000",—
5166,"$151,000",—
5167,—,—
5168,"A$400,000",—
5169,"CN¥20,000,000",—
5170,"$2,000,000",—
5171,"$250,000",—
5172,—,—
5173,"$875,000",—
5174,—,—
5175,"$35,000",—
5176,"SEK20,000,000",—
5177,"$3,282,000",—
5178,"$40,000,000",—
5179,"CN¥3,000,000",—
5180,"¥600,000,000",—
5181,"CN¥200,000,000",—
5182,"$501,551",—
5183,"$3,600,000",—
5184,"$1,100,000",—
5185,"$1,400,000",—
5186,"$1,220,443",—
5187,—,—
5188,—,—
5189,"$190,000",—
5190,"$131,838",—
5191,"CA$12,200,000",—
5192,"$75,000,000",—
5193,"$3,671,689",—
5194,"$58,835,853",—
5195,—,—
5196,"$97,000",—
5197,—,—
5198,"$1,272,000",—
5199,"$2,500,000",—
5200,"$330,000",—
5201,"$150,000",—
5202,—,—
5203,"$1,780,000",—
5204,"$120,000,000",—
5205,—,—
5206,"$16,806,247",—
5207,—,—
5208,—,—
5209,"$5,500,000",—
5210,—,—
5211,"$1,500,000",—
5212,"$185,000",—
5213,"€750,000","€3,000,000"
5214,"£250,000",—
5215,"€15,000",—
5216,—,—
5217,"$50,000",—
5218,—,—
5219,"$400,000",—
5220,"CN¥20,000,000",—
5221,—,—
5222,"$50,000",—
5223,—,—
5224,"$30,000",—
5225,"$220,365",—
5226,"$26,500,000",—
5227,—,—
5228,"$1,700,305",—
5229,"$789,550",—
5230,"$15,000,000",—
5231,"$7,600,000","$34,000,000"
5232,"$10,000,000",—
5233,"$500,000",—
5234,"$90,000,000","$410,000,000"
5235,"$1,832,500",—
5236,"$11,200,000",—
5237,"A$2,200,000",—
5238,"$5,000,000",—
5239,"$200,000",—
5240,"$16,000,000",—
5241,—,—
5242,"$1,298,066",—
5243,"€100,000",—
5244,"$409,099",—
5245,"$36,000,000",—
5246,"$450,000",—
5247,"$1,049,999",—
5248,"$10,000,000",—
5249,"€65,000",—
5250,"$2,360,000",—
5251,"$4,366,667",—
5252,"€362,000",—
5253,"$4,300,000",—
5254,"$2,898,806",—
5255,"£150,000",—
5256,"$2,911,580",—
5257,"CN¥3,000,000",—
5258,"$5,748,335",—
5259,"$880,000",—
5260,"$2,500,006",—
5261,"$312,000",—
5262,—,—
5263,—,—
5264,"$1,700,000",—
5265,"$5,000,000",—
5266,"$9,999,998",—
5267,"$137,233",—
5268,"$600,000",—
5269,"$1,500,000",—
5270,"$5,000,000",—
5271,"€250,000",—
5272,—,—
5273,—,—
5274,—,—
5275,"$6,000,000",—
5276,—,—
5277,"$1,000,000",—
5278,—,—
5279,—,—
5280,—,—
5281,"$10,000,000","$30,000,000"
5282,—,—
5283,—,—
5284,—,—
5285,"$6,046,254",—
5286,—,—
5287,—,—
5288,"$145,000",—
5289,"$100,000",—
5290,"$1,000,000",—
5291,"CN¥221,000,000",—
5292,"CN¥10,000,000",—
5293,"CN¥2,000,000",—
5294,—,—
5295,"CN¥3,000,000",—
5296,"CN¥10,000,000",—
5297,"$2,110,000",—
5298,"$250,000",—
5299,"$4,800,000",—
5300,"CN¥3,000,000",—
5301,"$30,000",—
5302,—,—
5303,"$10,000",—
5304,—,—
5305,"$10,000",—
5306,—,—
5307,"$1,000",—
5308,—,—
5309,"€500,000",—
5310,"$30,000",—
5311,—,—
5312,"CA$65,000",—
5313,"€200,000",—
5314,"NZ$2,415,007",—
5315,"$12,500",—
5316,—,—
5317,"$200,000","$4,000,000"
5318,"$50,000",—
5319,"$12,500",—
5320,—,—
5321,"$3,100,000",—
5322,"$22,500,000",—
5323,"$12,500",—
5324,—,—
5325,"$485,000",—
5326,"$15,000",—
5327,—,—
5328,"$80,000",—
5329,—,—
5330,"£15,000",—
5331,"$100,000","$408,000"
5332,"$12,500",—
5333,"CN¥40,000,000",—
5334,"$500,000",—
5335,"$17,000,000",—
5336,"$2,915,000",—
5337,"$225,000",—
5338,"$125,000",—
5339,—,—
5340,—,—
5341,"$2,509,000",—
5342,"€3,500,000",—
5343,—,—
5344,"$2,630,000",—
5345,"CA$750,000","CA$15,000,000"
5346,"$2,676,730",—
5347,—,—
5348,—,—
5349,"CN¥3,000,000",—
5350,—,—
5351,—,—
5352,"$1,200,000",—
5353,"$1,600,000",—
5354,"$2,500,000",—
5355,—,—
5356,"$4,475,606",—
5357,"$50,000",—
5358,"$600,000",—
5359,"$6,000,000",—
5360,—,—
5361,"$15,000,000",—
5362,"$12,560,978",—
5363,"€4,500,000",—
5364,"CN¥20,000,000",—
5365,"$20,400,000",—
5366,"$1,600,000",—
5367,"$270,000",—
5368,—,—
5369,"$1,100,000",—
5370,—,—
5371,"$1,750,000",—
5372,"$7,324,989",—
5373,"$15,000,000",—
5374,"$2,210,000",—
5375,"$718,000",—
5376,"CN¥8,000,000",—
5377,"CN¥20,000,000",—
5378,"CN¥5,800,000",—
5379,"$722,500",—
5380,"$3,759,532",—
5381,"$2,000,039",—
5382,"$2,400,000",—
5383,"$8,500,000",—
5384,—,—
5385,"$4,000,000",—
5386,—,—
5387,—,—
5388,"$5,444,672",—
5389,"$55,400,000",—
5390,—,—
5391,"$5,000",—
5392,"$450,000",—
5393,"CA$500,000",—
5394,"$3,709,993",—
5395,"$11,700,000",—
5396,"€18,500,000",—
5397,—,—
5398,"$1,000,000",—
5399,"$1,000,000",—
5400,"$500,000",—
5401,"$500,000",—
5402,"$6,905,000",—
5403,—,—
5404,—,—
5405,"$765,000",—
5406,"£964,550","£7,100,000"
5407,—,—
5408,"$150,000",—
5409,"$2,000,000",—
5410,"$450,000",—
5411,"€1,000,000",—
5412,"$620,000","$2,000,000"
5413,"£2,330,000",—
5414,"$3,006,296",—
5415,"$2,149,235",—
5416,"$26,700,000",—
5417,"$7,800,000",—
5418,"$400,000",—
5419,"$2,100,000",—
5420,"CN¥3,000,000",—
5421,"$22,000,000",—
5422,"$2,201,285",—
5423,—,—
5424,—,—
5425,"$1,155,000",—
5426,"$36,000,000",—
5427,"$3,125,000",—
5428,—,—
5429,"$1,000,000",—
5430,"CN¥15,000,000",—
5431,"CN¥3,000,000",—
5432,"$5,000,000",—
5433,"$350,378",—
5434,—,—
5435,"$20,000,000",—
5436,"$15,249,996",—
5437,"$390,637",—
5438,—,—
5439,"$5,088,920",—
5440,"$43,000,000",—
5441,"$3,125,000",—
5442,"$2,999,999",—
5443,"$33,000,000",—
5444,"$542,095",—
5445,"CN¥10,000,000",—
5446,"$39,000,001",—
5447,"$1,700,000",—
5448,"$1,500,000",—
5449,"$260,507",—
5450,"$1,120,121",—
5451,"$1,160,000",—
5452,"$1,300,000",—
5453,"$13,500,000",—
5454,"$25,200",—
5455,"$542,095",—
5456,"CN¥10,000,000",—
5457,"$39,000,001",—
5458,"$1,700,000",—
5459,"$1,500,000",—
5460,"$260,507",—
5461,"$1,120,121",—
5462,"$1,160,000",—
5463,"$1,300,000",—
5464,"$13,500,000",—
5465,"$25,200",—
5466,"$450,000",—
5467,"$250,000",—
5468,"$12,600,000",—
5469,"$8,400,000",—
5470,"CHF100,000",—
5471,"$12,000,000",—
5472,"$34,200,000",—
5473,"CN¥80,000,000",—
5474,"$62,749,919",—
5475,"¥250,000,000",—
5476,"$110,000",—
5477,"$3,000,000",—
5478,—,—
5479,"$270,000",—
5480,"$40,000,000",—
5481,"$4,040,000",—
5482,"$500,000",—
5483,"€2,000,000",—
5484,"$7,000,000",—
5485,"$540,000",—
5486,"£230,000",—
5487,"CHF450,000",—
5488,"$15,000,000",—
5489,"$1,340,000",—
5490,"$542,095",—
5491,"CN¥10,000,000",—
5492,"$39,000,001",—
5493,"$1,700,000",—
5494,"$1,500,000",—
5495,"$260,507",—
5496,"$1,120,121",—
5497,"$1,160,000",—
5498,"$1,300,000",—
5499,"$13,500,000",—
5500,"$25,200",—
5501,"$450,000",—
5502,"$250,000",—
5503,"$12,600,000",—
5504,"$8,400,000",—
5505,"CHF100,000",—
5506,"$12,000,000",—
5507,"$34,200,000",—
5508,"CN¥80,000,000",—
5509,"$62,749,919",—
5510,"¥250,000,000",—
5511,"$110,000",—
5512,"$3,000,000",—
5513,—,—
5514,"$270,000",—
5515,"$40,000,000",—
5516,"$4,040,000",—
5517,"$500,000",—
5518,"€2,000,000",—
5519,"$7,000,000",—
5520,"$540,000",—
5521,"£230,000",—
5522,"CHF450,000",—
5523,"$15,000,000",—
5524,"$1,340,000",—
5525,"$9,580,181",—
5526,"$3,039,760",—
5527,"$8,000,000",—
5528,"$10,000,000",—
5529,"CN¥10,000,000",—
5530,"CN¥5,000,000",—
5531,"CN¥9,000,000",—
5532,"$4,000,000",—
5533,"$75,000",—
5534,"$40,000,000",—
5535,"$50,000",—
5536,"$32,000,000",—
5537,—,—
5538,"$2,060,000",—
5539,"$25,000,000",—
5540,"$4,000,000",—
5541,"$22,500,000",—
5542,"$20,000,006",—
5543,"$2,350,479",—
5544,—,—
5545,"$40,000,000",—
5546,"$1,200,000",—
5547,"$2,621,250",—
5548,"$2,500,000",—
5549,"$1,000,000",—
5550,—,—
5551,"CA$15,000",—
5552,"$120,000",—
5553,—,—
5554,"$2,500,000",—
5555,"$36,000,000",—
5556,—,—
5557,—,—
5558,"$15,000,000",—
5559,"$2,000,000",—
5560,—,—
5561,"£25,000",—
5562,"$1,881,134",—
5563,"$48,000",—
5564,"$1,500,000",—
5565,"CN¥60,000,000",—
5566,"$5,000,000",—
5567,"$3,000,000",—
5568,"$6,000,000",—
5569,"$2,000,000",—
5570,"$721,245",—
5571,—,—
5572,"$12,100,000",—
5573,"$8,000,012",—
5574,"$2,000,000",—
5575,"$1,675,000",—
5576,"€688,500",—
5577,—,—
5578,"$300,000",—
5579,"$14,000,000",—
5580,"$765,000",—
5581,"$19,000,000",—
5582,—,—
5583,"$2,000,000",—
5584,"$20,000,000",—
5585,"$30,000",—
5586,"$2,500,000",—
5587,"$16,000,008",—
5588,"£1,584,493","£5,549,646"
5589,"$5,151,000",—
5590,—,—
5591,"CN¥3,000,000",—
5592,"$244,838",—
5593,"$675,000",—
5594,"$12,800,000",—
5595,"$4,000,000",—
5596,—,—
5597,"€3,000,000",—
5598,—,—
5599,"$30,000,000",—
5600,"$100,000",—
5601,"$11,915,367",—
5602,"$2,000,001",—
5603,"¥150,255,000",—
5604,"€344,000",—
5605,"$380,000",—
5606,"CN¥120,000,000",—
5607,"$2,300,000",—
5608,"$3,000,000",—
5609,"$1,600,000",—
5610,"$3,000,000",—
5611,"$2,300,000",—
5612,—,—
5613,"€2,600,000",—
5614,"$8,900,000",—
5615,"CHF300,000",—
5616,"$800,000",—
5617,—,—
5618,"$2,100,000",—
5619,—,—
5620,"$12,100,000",—
5621,"$16,000,000",—
5622,—,—
5623,"CHF20,000,000",—
5624,"$10,200,000",—
5625,—,—
5626,"$4,260,000",—
5627,"$4,790,000",—
5628,"£107,750",—
5629,"CHF20,000",—
5630,"$249,631",—
5631,"$2,500,000",—
5632,"$3,708,355",—
5633,—,—
5634,"$1,500,000",—
5635,"$30,736,562",—
5636,"CN¥7,000,000",—
5637,"$1,762,357",—
5638,"$80,000",—
5639,"$725,000",—
5640,"$1,219,500",—
5641,"€2,000,000",—
5642,"$9,100,000",—
5643,"$42,000,000",—
5644,"$16,399,999",—
5645,"¥620,000,000",—
5646,"$15,840,000",—
5647,"CN¥3,000,000",—
5648,"$100,000",—
5649,"$509,480",—
5650,"$120,000",—
5651,"$3,000,000",—
5652,"$300,000",—
5653,—,—
5654,"$2,000,000",—
5655,"$6,500,000",—
5656,"$1,483,973",—
5657,"$3,000,000",—
5658,"$650,000",—
5659,"$500,000",—
5660,"€19,800,000",—
5661,"$751,284",—
5662,"$10,000",—
5663,"$795,000",—
5664,"$327,500",—
5665,"$2,738,150",—
5666,"$143,033",—
5667,"$1,500,000",—
5668,—,—
5669,"$500,000",—
5670,—,—
5671,"$2,265,000",—
5672,"€3,000,000",—
5673,"$33,000",—
5674,"$11,259,000",—
5675,"€50,000",—
5676,"$1,428,600",—
5677,—,—
5678,"$3,000,000",—
5679,"$482,000",—
5680,"$5,988,000",—
5681,"CN¥10,000,000",—
5682,"CN¥5,000,000",—
5683,"CN¥3,000,000",—
5684,"CN¥1,500,000",—
5685,"CN¥10,000,000",—
5686,"CN¥10,000,000",—
5687,"$27,000,000",—
5688,"$100,000",—
5689,"$6,000,000",—
5690,"$1,320,000",—
5691,"$53,750",—
5692,"CN¥20,000,000",—
5693,—,—
5694,"$30,000",—
5695,"$75,000",—
5696,—,—
5697,—,—
5698,"$12,500,000",—
5699,"R$2,500,000",—
5700,—,—
5701,"£1,100,000",—
5702,"€600,000",—
5703,"€50,000",—
5704,"$20,000",—
5705,"$250,000",—
5706,"$5,000,000",—
5707,"$550,000",—
5708,—,—
5709,"$20,000",—
5710,—,—
5711,"$500,000",—
5712,"MX$1,200,000",—
5713,"€50,000",—
5714,—,—
5715,"£800,000","£4,068,000"
5716,"$20,000",—
5717,"$119,000,000",—
5718,"$10,000",—
5719,"£600,000","£3,000,000"
5720,—,—
5721,"€281,000",—
5722,"CN¥6,680,000",—
5723,"$200,000",—
5724,"€4,487,525",—
5725,"$3,000,000",—
5726,"€50,000",—
5727,"$3,000,000",—
5728,—,—
5729,"€50,000",—
5730,"$20,000",—
5731,"$520,000","$3,005,000"
5732,—,—
5733,"$20,000",—
5734,—,—
5735,"€3,583,396",—
5736,"$6,000,000",—
5737,—,—
5738,—,—
5739,"$785,253",—
5740,"R$2,500,000",—
5741,"€71,429",—
5742,"€2,776,000",—
5743,"€50,000",—
5744,"$690,000",—
5745,"€50,000",—
5746,"$1,500,000",—
5747,"€176,443",—
5748,"€50,000",—
5749,"£180,000",—
5750,"$1,690,000",—
5751,"$9,590,000",—
5752,"$1,191,901",—
5753,"$25,000",—
5754,"€567,127",—
5755,"$800,000",—
5756,"$20,000,000",—
