,Organisation,Investors,Location
4440, Docplexus ," ASP Consulting, Uniqorn Ventures"," Pune, Maharashtra, India, Asia"
4441, Lemonilo , East Ventures," Jakarta, Jakarta Raya, Indonesia, Asia"
4442, GoHealth , — ," Chicago, Illinois, United States, North America"
4443, Sonosine , — ," Oxford, Oxfordshire, United Kingdom, Europe"
4444, TVA Medical ," Baxter Ventures, Boston Scientific, S3 Ventures, Sante Ventures, TriStar Health Partners"," Austin, Texas, United States, North America"
4445, Onkos Surgical , 1315 Capital," Parsippany, New Jersey, United States, North America"
4446, Core Solutions , — ," Wayne, Pennsylvania, United States, North America"
4447, Infonaut , 43North," Buffalo, New York, United States, North America"
4448, InGeneron , — ," Houston, Texas, United States, North America"
4449, LumiThera ," Keiretsu Capital, Keiretsu Forum Northwest"," Poulsbo, Washington, United States, North America"
4450, Orionis Biosciences , — ," Boston, Massachusetts, United States, North America"
4451, Winmedical , — ," Pisa, Toscana, Italy, Europe"
4452, Precision Biopsy ," Allied Minds, Woodford Investment Management"," Boston, Massachusetts, United States, North America"
4453, Exonate , ACF Investors," Cambridge, Cambridgeshire, United Kingdom, Europe"
4454, Mirna Therapeutics , — ," Austin, Texas, United States, North America"
4455, Health iPASS ," Beverly Hills Capital, MPG Equity Partners LLC, OCA Ventures"," Oak Brook, Illinois, United States, North America"
4456, Sanovas , — ," Sausalito, California, United States, North America"
4457, swiftQueue ," Enterprise Ireland, Kernel Capital"," Dublin, Dublin, Ireland, Europe"
4458, Ignilife , Malakoff Mederic," Biot, Provence-Alpes-Cote d'Azur, France, Europe"
4459, Red Med Technologies , — ," London, England, United Kingdom, Europe"
4460, Fasciawear , Butterfly Ventures, — 
4461, Avadim Health , — ," Asheville, North Carolina, United States, North America"
4462, Think Dirty , DMZ," Toronto, Ontario, Canada, North America"
4463, Gene Solutions , Jaffray Woodriff," Charlottesville, Virginia, United States, North America"
4464, Ogeda ," BNP Paribas Fortis, Capricorn Partners, Pierre Drion, S.R.I.W., Vesalius Biocapital Partners"," Brussels, Brussels Hoofdstedelijk Gewest, Belgium, Europe"
4465, Smart Nora , — ," Toronto, Ontario, Canada, North America"
4466, Aperion Biologics , — ," San Antonio, Texas, United States, North America"
4467, BIOMODEX , Wilco," Paris, Ile-de-France, France, Europe"
4468, PFO Global , — ," Farmers Branch, Texas, United States, North America"
4469, Medsi Group , Sistema JSFC," Moscow, Moscow City, Russian Federation, Europe"
4470, Intrinsik Technologies , GrowthX," Wan Chai, Hong Kong Island, Hong Kong, Asia"
4471, BoaConsulta ," 500 Startups, Performa Investimentos, Valor Capital Group"," São Paulo, Sao Paulo, Brazil, South America"
4472, Welcome Cure , Brand Capital," Mumbai, Maharashtra, India, Asia"
4473, Oncoceutics , Spring Mountain Capital," Philadelphia, Pennsylvania, United States, North America"
4474, OcuCure Therapeutics , — ," Roanoke, Virginia, United States, North America"
4475, Docplexus ," ASP Consulting, Uniqorn Ventures"," Pune, Maharashtra, India, Asia"
4476, Lemonilo , East Ventures," Jakarta, Jakarta Raya, Indonesia, Asia"
4477, GoHealth , — ," Chicago, Illinois, United States, North America"
4478, Sonosine , — ," Oxford, Oxfordshire, United Kingdom, Europe"
4479, TVA Medical ," Baxter Ventures, Boston Scientific, S3 Ventures, Sante Ventures, TriStar Health Partners"," Austin, Texas, United States, North America"
4480, Onkos Surgical , 1315 Capital," Parsippany, New Jersey, United States, North America"
4481, Core Solutions , — ," Wayne, Pennsylvania, United States, North America"
4482, Infonaut , 43North," Buffalo, New York, United States, North America"
4483, InGeneron , — ," Houston, Texas, United States, North America"
4484, LumiThera ," Keiretsu Capital, Keiretsu Forum Northwest"," Poulsbo, Washington, United States, North America"
4485, Orionis Biosciences , — ," Boston, Massachusetts, United States, North America"
4486, Winmedical , — ," Pisa, Toscana, Italy, Europe"
4487, Precision Biopsy ," Allied Minds, Woodford Investment Management"," Boston, Massachusetts, United States, North America"
4488, Exonate , ACF Investors," Cambridge, Cambridgeshire, United Kingdom, Europe"
4489, Mirna Therapeutics , — ," Austin, Texas, United States, North America"
4490, Health iPASS ," Beverly Hills Capital, MPG Equity Partners LLC, OCA Ventures"," Oak Brook, Illinois, United States, North America"
4491, Sanovas , — ," Sausalito, California, United States, North America"
4492, swiftQueue ," Enterprise Ireland, Kernel Capital"," Dublin, Dublin, Ireland, Europe"
4493, Ignilife , Malakoff Mederic," Biot, Provence-Alpes-Cote d'Azur, France, Europe"
4494, Red Med Technologies , — ," London, England, United Kingdom, Europe"
4495, Fasciawear , Butterfly Ventures, — 
4496, Avadim Health , — ," Asheville, North Carolina, United States, North America"
4497, Think Dirty , DMZ," Toronto, Ontario, Canada, North America"
4498, Gene Solutions , Jaffray Woodriff," Charlottesville, Virginia, United States, North America"
4499, Ogeda ," BNP Paribas Fortis, Capricorn Partners, Pierre Drion, S.R.I.W., Vesalius Biocapital Partners"," Brussels, Brussels Hoofdstedelijk Gewest, Belgium, Europe"
4500, Smart Nora , — ," Toronto, Ontario, Canada, North America"
4501, Aperion Biologics , — ," San Antonio, Texas, United States, North America"
4502, BIOMODEX , Wilco," Paris, Ile-de-France, France, Europe"
4503, PFO Global , — ," Farmers Branch, Texas, United States, North America"
4504, Medsi Group , Sistema JSFC," Moscow, Moscow City, Russian Federation, Europe"
4505, Protein Alternatives , EASME - EU Executive Agency for SMEs," Madrid, Madrid, Spain, Europe"
4506, miLab , — ," Boston, Massachusetts, United States, North America"
4507, OceanDrop , Darwin Startups," Balneário De Camboriú, Santa Catarina, Brazil, South America"
4508, Qventus ," StartX (Stanford-StartX Fund), The Valley Fund, Y Combinator"," Mountain View, California, United States, North America"
4509, Blissfully Better , — ," Boca Raton, Florida, United States, North America"
4510, Qventus , Acorn Pacific Ventures," Mountain View, California, United States, North America"
4511, Dianax , RedSeed Ventures," Milan, Lombardia, Italy, Europe"
4512, Curematch , Analytics Ventures," San Diego, California, United States, North America"
4513, Aerami Therapeutics , SternAegis," Durham, North Carolina, United States, North America"
4514, Gastro Girl , Relevant Health," Falls Church, Virginia, United States, North America"
4515, StethoMe ," Programa, SpeedUp Venture Capital Group"," Poznan, Wielkopolskie, Poland, Europe"
4516, The Medic ," Artesian VC, Slingshot Accelerator"," Sydney, New South Wales, Australia, Oceania"
4517, MolecuLight , LVL1 Group," Toronto, Ontario, Canada, North America"
4518, SciRobot , Startupbootcamp Istanbul," San Francisco, Islas Baleares, Spain, Europe"
4519, Mira , — ," Pleasanton, California, United States, North America"
4520, Bionure , Hugo Peris," Menlo Park, California, United States, North America"
4521, FAR Botanicals , Creative Startups," Ohio, Illinois, United States, North America"
4522, Silene Biotech , — ," Seattle, Washington, United States, North America"
4523, WeFitter ," SeedRocket, Technogym"," Barcelona, Catalonia, Spain, Europe"
4524, Tempo , Wayra," Lima, Lima, Peru, South America"
4525, Yosi ," Dr. Jonathan Feistmann, Dr. Tal Raviv, Sathish Gururajan"," New York, New York, United States, North America"
4526, Eye Care Plus Exercise , Hovhannes Avoyan," Yerevan, Yerevan, Armenia, Asia"
4527, Clarus Care ," Altitude Ventures, Clayton Associates"," Brentwood, Tennessee, United States, North America"
4528, NextGen Jane , Illumina Accelerator," Oakland, California, United States, North America"
4529, GuavaPass , Haitao Capital," Singapore, Central Region, Singapore, Asia"
4530, Neopenda , Relevant Health," Chicago, Illinois, United States, North America"
4531, Qing Lai Jiankang , Puhua Capital," Beijing, Beijing, China, Asia"
4532, ADVIN , Family and Friends Investment," Toronto, Ontario, Canada, North America"
4533, Banyan ," Jeremy Andrus, Kickstart, Peterson Ventures"," Orem, Utah, United States, North America"
4534, P1vital , EASME - EU Executive Agency for SMEs," Wallingford, Oxfordshire, United Kingdom, Europe"
4535, Leaf , — ," Wuhan, Hubei, China, Asia"
4536, AgeWell Biometrics , Relevant Health," Baltimore, Maryland, United States, North America"
4537," STASHLOGIX, Inc. ", CanopyBoulder," Boulder, Colorado, United States, North America"
4538, Lazy ," Relevant Health, TEDCO"," Rockville, Maryland, United States, North America"
4539, Caerus Corp , — ," Minneapolis, Minnesota, United States, North America"
4540, l’acn l’accessorio Nucleare S.r.l. , EASME - EU Executive Agency for SMEs," Lainate, Lombardia, Italy, Europe"
4541, WOOM , SeedRocket," Madrid, Madrid, Spain, Europe"
4542, Speech Buddies , PCH International," San Francisco, California, United States, North America"
4543, P1vital Products , EASME - EU Executive Agency for SMEs," Wallingford, Oxfordshire, United Kingdom, Europe"
4544, TalkLife ," Barnaby Weiner, Bethnal Green Ventures, Gerard Pagliaro, Jennifer Viloria, Matthew Cooper, Ursel Barnes"," London, England, United Kingdom, Europe"
4545, Standigm , Korea Tech Incubator Program For Startup," Seoul, Seoul-t'ukpyolsi, South Korea, Asia"
4546, PRX Control Solutions , — ," Miami, Florida, United States, North America"
4547, PolyRemedy , Flybridge," Concord, Massachusetts, United States, North America"
4548, Vitagene , Illumina Accelerator," San Francisco, California, United States, North America"
4549, OPTIMIZERx , Greyhealth Group," Rochester Hills, Michigan, United States, North America"
4550, Adaptix Ltd , EASME - EU Executive Agency for SMEs," Oxford, Oxfordshire, United Kingdom, Europe"
4551, Cheeksup , Relevant Health," Riga, Riga, Latvia, Europe"
4552, Ionpath , Genoa Ventures," Menlo Park, California, United States, North America"
4553, 6over6 ," Alumot VC, Triventures"," Tel Aviv, Tel Aviv, Israel, Asia"
4554, Optomed , Robert Bosch Venture Capital," Oulu, Oulu, Finland, Europe"
4555, NapiFeryn BioTech , EASME - EU Executive Agency for SMEs," Lodz, Lodzkie, Poland, Europe"
4556, Hussle ," AlbionVC, Concentric, Technogym"," London, England, United Kingdom, Europe"
4557," Werbie, LLC ", Relevant Health," Bethesda, Maryland, United States, North America"
4558, Diktamen Oy , EASME - EU Executive Agency for SMEs," Helsinki, Southern Finland, Finland, Europe"
4559, Humon , Dorm Room Fund," Cambridge, Massachusetts, United States, North America"
4560, Finizz Corporation , — ," Ho Chi Minh City, NA - Vietnam, Vietnam, Asia"
4561, Elcelyx Therapeutics ," Clough Capital Partners, GSM Fund, Kleiner Perkins, Morgenthaler Ventures, Sailing Capital, Technology Partners"," San Diego, California, United States, North America"
4562, Danxia , Ch-gemstone capital," Guangzhou Shi, Guangdong, China, Asia"
4563, Access Integrated Healthcare , — ," Glendale, California, United States, North America"
4564, BookDoc ," Danny Yeung, Dato Dr Maimunah, Dato Syed Budriz Putra, Datuk Yvonne Chia, Kenny Thing, Lee Mean Yeit, Sharil Tarmizi"," Selangor, Selangor, Malaysia, Asia"
4565, Play-it Health , — ," Overland Park, Kansas, United States, North America"
4566, Snap Fitness , Capital Mills," Chanhassen, Minnesota, United States, North America"
4567, Remedly , TA Capital," San Francisco, California, United States, North America"
4568, Coachademy ," FINODEX Accelerator, FIWARE"," Amsterdam, Noord-Holland, The Netherlands, Europe"
4569, Ambronite ," Dan Bragiel, Lifeline Ventures"," Espoo, Southern Finland, Finland, Europe"
4570, Coachademy , Technogym Wellness Accelerator," Amsterdam, Noord-Holland, The Netherlands, Europe"
4571, AMO Pharma , Woodford Investment Management," Wonersh, Surrey, United Kingdom, Europe"
4572, Lung Therapeutics , UT Horizon Fund," Austin, Texas, United States, North America"
4573, Happiest Baby ," Felicis Ventures, Julia Popowitz, Lux Capital, Obvious Ventures, Plus Capital"," Santa Monica, California, United States, North America"
4574, MiNDERA Corporation ," MedTech Innovator, MIT Alumni Angels of Northern California, Philippe Nore, Scientific Health Development Partners"," South San Francisco, California, United States, North America"
4575, Healthy Headie Lifestyle ," CanopyBoulder, Francis Priznar"," Boulder, Colorado, United States, North America"
4576, MedZed , — ," Atlanta, Georgia, United States, North America"
4577, emPower , StartUp Health," San Francisco, California, United States, North America"
4578, Heka Health , iSeed Ventures," San Mateo, California, United States, North America"
4579, iamsick.ca , — ," Toronto, Ontario, Canada, North America"
4580, PerfectServe ," CHV Capital, Indiana University Health, MemorialCare Innovation Fund, Piper Jaffray, River Cities Capital Funds"," Knoxville, Tennessee, United States, North America"
4581, Vibetech , — ," Sheboygan, Wisconsin, United States, North America"
4582, Alpha Cognition , — ," Vancouver, British Columbia, Canada, North America"
4583, Axikin Pharmaceuticals , — ," San Diego, California, United States, North America"
4584, LOON Lab , — ," Brooklyn, New York, United States, North America"
4585, Fysio24 , DocCheck Guano AG," Amsterdam, Noord-Holland, The Netherlands, Europe"
4586, MedSocket ," BioGenerator, Capital Innovators, Missouri Technology Corporation"," Columbia, Missouri, United States, North America"
4587, VisionQuest Biomedical , National Institutes of Health," Albuquerque, New Mexico, United States, North America"
4588, weizy.cn ," GOUFUYUAN VC, King Capital"," Nanshanqu, Guangdong, China, Asia"
4589, Precision NanoSystem ," 5AM Ventures, Northview LifeSciences, Rising Tide, Telegraph Hill Partners"," Vancouver, British Columbia, Canada, North America"
4590, Xixi Maternal and Baby Care ," CIVC, Dongfang Zichan Guquan Touzibu, Taijing Touzi, Yunyi Tianshi"," Hongkou, Shanghai, China, Asia"
4591, Novavax , Bill & Melinda Gates Foundation," Gaithersburg, Maryland, United States, North America"
4592, Monnie , Geelong Angel Investor Network," Reading, Reading, United Kingdom, Europe"
4593, Veran Medical Technologies ," 3G Capital Partners, Advantage Capital, Prolog Ventures, Rex Health Ventures, River Cities Capital Funds, Versant Ventures"," St Louis, Missouri, United States, North America"
4594, PinpointCare , — ," Chicago, Illinois, United States, North America"
4595, Asceneuron ," Johnson & Johnson Innovation, Kurma Partners, M Ventures, Sofinnova Partners, SR One"," Lausanne, Vaud, Switzerland, Europe"
4596, Neuromod Devices , Fountain Healthcare Partners," Dublin, Dublin, Ireland, Europe"
4597, Apitope ," Arthurian Life Sciences, Limburgse Reconversie Maatschappij, PMV Pharmaceuticals, Vesalius Biocapital Partners, Wyvern Seed Fund"," Bristol, Bristol, City of, United Kingdom, Europe"
4598, BeneStream ," BlueCross BlueShield Venture Partners, Sandbox Industries"," New York, New York, United States, North America"
4599, PulsePoint , Silicon Valley Bank," New York, New York, United States, North America"
4600, NextImage Medical , Trinity Capital," San Diego, California, United States, North America"
4601, Emory University , National Institutes of Health," Atlanta, Georgia, United States, North America"
4602, Medinet Co , Whiz Partners," Kahoku, Miyagi, Japan, Asia"
4603, Media4Care , Ananda Impact Ventures," Berlin, Berlin, Germany, Europe"
4604, MyGenetics , Internet Initiatives Development Fund (IIDF)," Novosibirsk, Novosibirsk, Russian Federation, Europe"
4605, TrustHCS , WindRose Health Investors," Springfield, Missouri, United States, North America"
4606, Cuídate , Envelp," Mexico City, Distrito Federal, Mexico, North America"
4607, FASTinov ," Armilar Venture Partners, Bynd Venture Capital"," Matosinhos, Porto, Portugal, Europe"
4608, Walker & Company Brands ," Andreessen Horowitz, Collaborative Fund, Daher Capital, Felicis Ventures, GV, IVP, Magic Johnson Enterprises, Melo7 Tech Partners, Upfront Ventures"," Palo Alto, California, United States, North America"
4609, AUTHENMOLE , Shanhua Touzi," Meizhou, Guangdong, China, Asia"
4610, VaxInnate , — ," Cranbury, New Jersey, United States, North America"
4611, PhageTech ," Black River Investments, Mark IV Capital"," Irvine, California, United States, North America"
4612, GenomeDx Biosciences , CRG," Vancouver, British Columbia, Canada, North America"
4613, Koto Labs , — ," Ljubljana, Ljubljana Urban Commune, Slovenia, Europe"
4614, Thermodo , SOSV," San Francisco, California, United States, North America"
4615, Develop Link ," Impact Engine, Invariantes Fund"," New York, New York, United States, North America"
4616, DisputeBills.com , — ," Chicago, Illinois, United States, North America"
4617, Genedock , Matrix Partners China," Beijing, Beijing, China, Asia"
4618, Likvor ," Inlandsinnovation, Partnerinvest Norr"," Umeå, Vasterbottens Lan, Sweden, Europe"
4619, X2AI , — ," Amsterdam, Noord-Holland, The Netherlands, Europe"
4620, FREDsense , — ," Calgary, Alberta, Canada, North America"
4621, CrowdMed ," AAF Management Ltd., Anne Wojcicki, Greylock, Khosla Ventures, Knight Enterprise Fund, New Enterprise Associates, Patrick Dempsey, SV Angel, Y Combinator"," San Francisco, California, United States, North America"
4622, Truvian Sciences , — ," San Diego, California, United States, North America"
4623, MediSieve , — ," London, England, United Kingdom, Europe"
4624, Circulomics , — ," Baltimore, Maryland, United States, North America"
4625, getwell , Shanghai Xiyi Touzi," Nanshanqu, Guangdong, China, Asia"
4626, Baby Sky , Orient Securities Capital Investment," Huangpu, Shanghai, China, Asia"
4627, Cognotion , 1776 Ventures," New York, New York, United States, North America"
4628, Fensi Hudong ," China Equity, Ifensi.com"," Beijing, Beijing, China, Asia"
4629, Nurix Therapeutics , — ," San Francisco, California, United States, North America"
4630, MISSION Therapeutics , Innovate UK," Cambridge, Cambridgeshire, United Kingdom, Europe"
4631, Truust Neuroimaging ," IndieBio, SOSV"," San Francisco, California, United States, North America"
4632, Bloomlife ," HealthTech Capital, Kapor Capital, MedTech Innovator"," San Francisco, California, United States, North America"
4633, Citruslabs ," Ignite Accelerator, Northstar Ventures"," Glasgow, Glasgow City, United Kingdom, Europe"
4634, Ideal Protein , Apax Partners," Gatineau, Quebec, Canada, North America"
4635, Balt , Bridgepoint," Montmorency, Ile-de-France, France, Europe"
4636, Enval Laboratoire , Investisseurs & Partenaires," Abidjan, Lagunes, Côte d'Ivoire, Africa"
4637, Physiclo , — ," New York, New York, United States, North America"
4638, Cognotion , 1776 Ventures," New York, New York, United States, North America"
4639, iSalud.com ," Centre for the Development of Industrial Technology (CDTI), Mediaset España"," Barcelona, Catalonia, Spain, Europe"
4640, AirWare Labs , — ," Scottsdale, Arizona, United States, North America"
4641, mPharma , Alchemist Accelerator," Accra, Greater Accra, Ghana, Africa"
4642, QbDWorks , Alchemist Accelerator," Fremont, California, United States, North America"
4643, Replimune Group ," Atlas Venture, Forbion Capital Partners, Omega Funds"," Woburn, Massachusetts, United States, North America"
4644, ImmunoCellular Therapeutics , California Institute for Regenerative Medicine," Calabasas, California, United States, North America"
4645, Celsee Diagnostics , — ," Plymouth, Michigan, United States, North America"
4646, Morsel ," Right Side Capital Management, Techstars"," New York, New York, United States, North America"
4647, JOANY , Right Side Capital Management," Los Angeles, California, United States, North America"
4648, lifeIMAGE ," Blue Cross Blue Shield of Massachusetts, Cambia Health Solutions, Cardinal Partners, Galen Partners, LRVHealth"," Newton, Massachusetts, United States, North America"
4649, Motus Therapeutics , — ," Boston, Massachusetts, United States, North America"
4650, XENiOS , Zukunftsfonds Heilbronn," Heilbronn, Baden-Wurttemberg, Germany, Europe"
4651, Koronis Pharmaceuticals , — ," Seattle, Washington, United States, North America"
4652, ElastiMed , Pix Vine Capital," Yoqne`am `illit, HaZafon, Israel, Asia"
4653, PayRight Health Solutions , — ," Landenberg, Pennsylvania, United States, North America"
4654, WeDoctor ," China Development Industrial Bank (CDIB), Fosun International, Goldman Sachs, Hillhouse Capital Group, Tencent Holdings"," Xiaoshan, Zhejiang, China, Asia"
4655, U.S. Environmental Protection Agency , — ," Washington, District of Columbia, United States, North America"
4656, C-doctor ," King Capital, WisdoMont Asset Management"," Shanghai, Shanghai, China, Asia"
4657, Microbiome Insights Inc. , entrepreneurship@UBC," Vancouver, British Columbia, Canada, North America"
4658, Yiding , YIMI," Guangzhou, Guangdong, China, Asia"
4659, Pryor Medical Devices , — ," Arvada, Colorado, United States, North America"
4660, Auris Health ," Lux Capital, Mithril Capital Management"," Redwood City, California, United States, North America"
4661, Clinicloud ," Ping An Ventures, Tencent Holdings"," San Francisco, California, United States, North America"
4662, EpiEP , — ," New Haven, Connecticut, United States, North America"
4663, Humanlink , — ," Fayetteville, Arkansas, United States, North America"
4664, 3NT Medical , — ," Rosh Ha'ayin, HaMerkaz, Israel, Asia"
4665, Euclises Pharmaceuticals ," ABC Laboratories, BioGenerator, Cultivation Capital, Helix Fund, iSELECT FUND, Missouri Technology Corporation, St. Louis Arch Angels"," St Louis, Missouri, United States, North America"
4666, UroGPO , — ," Rocky River, Ohio, United States, North America"
4667, Enter ," AltaIR Capital, Hard Yaka"," San Francisco, California, United States, North America"
4668, Phynd Technologies , Tony Morris," Dallas, Texas, United States, North America"
4669, VIVO Healthcare ," Brand Capital, Springboard"," Gurgaon, Haryana, India, Asia"
4670, Aytu BioScience , — ," Englewood, Colorado, United States, North America"
4671, Stemina Biomarker Discovery ," National Institutes of Health, Wisconsin Investment Partners"," Madison, Wisconsin, United States, North America"
4672, NOXSUDOR THERAPEUTICS LIMITED , SyndicateRoom," London, England, United Kingdom, Europe"
4673, Out of Galaxy , SOSV," San Francisco, California, United States, North America"
4674, Yuezige , Diamond BioFund," Changning, Shanghai, China, Asia"
4675, Viewpoint Molecular Targeting , — ," Coralville, Iowa, United States, North America"
4676, Synthetic Genomics , Lung Biotechnology," La Jolla, California, United States, North America"
4677, Rx Savings Solutions , — ," Overland Park, Kansas, United States, North America"
4678, Apollo Medical Devices , Innovation Fund Northeast Ohio," Cleveland, Ohio, United States, North America"
4679, Lygent , Innovation Fund Northeast Ohio," Elyria, Ohio, United States, North America"
4680, Atigeo , Ascension Ventures," Bellevue, Washington, United States, North America"
4681, Chella , — ," Camarillo, California, United States, North America"
4682, WeDoctor , 5Y Capital," Xiaoshan, Zhejiang, China, Asia"
4683, Inovio Pharmaceuticals , DARPA," Plymouth Meeting, Pennsylvania, United States, North America"
4684, Jingkang (Recovery Plus) , IDG Capital," Chengdu, Sichuan, China, Asia"
4685, RecoveryPlus , IDG Capital," Chengdu, Sichuan, China, Asia"
4686, Rna Diagnostics , — ," Toronto, Ontario, Canada, North America"
4687, FitKey ," Jozi Angels, Justin Stanford"," Cape Town, NA - South Africa, South Africa, Africa"
4688, Great Lakes NeuroTechnologies Inc. , National Institutes of Health," Cleveland, Ohio, United States, North America"
4689, AventaMed , — ," Cork, Cork, Ireland, Europe"
4690, Tempus , — ," Chicago, Illinois, United States, North America"
4691, Berkeley Lights ," Lucas Venture Group, Sequoia Capital, Walden Riverwood Ventures"," Emeryville, California, United States, North America"
4692, Prevtec microbia , Investissement Quebec," Montréal, Quebec, Canada, North America"
4693, Deciphera Pharmaceuticals , New Leaf Venture Partners," Waltham, Massachusetts, United States, North America"
4694, JOANY ," Techstars, Techstars New York City Accelerator"," Los Angeles, California, United States, North America"
4695, TransMedics , — ," Andover, Massachusetts, United States, North America"
4696, Modernizing Medicine ," Pentland Brands, Sands Capital Ventures, Summit Partners"," Boca Raton, Florida, United States, North America"
4697, Biametrics GmbH ," KfW, LBBW VC, Mittelständische Beteiligungsgesellschaft Niedersachsen (MBG)"," Tübingen, Baden-Wurttemberg, Germany, Europe"
4698, Parable Health , — ," New York, New York, United States, North America"
4699, Tabletech , Crowdcube," Barcelona, Catalonia, Spain, Europe"
4700, Primo Group , ArchiMed," Turin, Piemonte, Italy, Europe"
4701, Gramercy Extremity Orthopedics , — ," Richardson, Texas, United States, North America"
4702, Portea Medical ," Accel, IFC Venture Capital Group, International Finance Corporation, Qualcomm Ventures, VenturEast"," Bangalore, Karnataka, India, Asia"
4703, Nutrium , PRIMAVERA Business Software Solutions SA," Braga, Braga, Portugal, Europe"
4704, Fútbol Fit Club , Esteban Mancuso," Bogotá, Distrito Especial, Colombia, South America"
4705, CanFite BioPharma , — ," Petah Tiqva, HaMerkaz, Israel, Asia"
4706, Glomeria Therapeutics ," Green Arrow Capital, Spindial Group, Vertis SGR S.p.A."," Chieti, Abruzzi, Italy, Europe"
4707, Rthm Technologies Inc. , MaRS Investment Accelerator Fund," Toronto, Ontario, Canada, North America"
4708, ivWatch , — ," Newport News, Virginia, United States, North America"
4709, Clover Health ," Athyrium Capital Management, LP, First Round Capital"," Nashville, Tennessee, United States, North America"
4710, Curejoy ," Accel, NuVentures"," San Francisco, California, United States, North America"
4711, Simple Wearables , — ," Sheung Wan, Hong Kong Island, Hong Kong, Asia"
4712, ZEST , 500 Startups," Tokyo, Tokyo, Japan, Asia"
4713, Kyruus ," F-Prime Capital, Highland Capital Partners, Leerink Partners, Lux Capital, McKesson Ventures, New Leaf Venture Partners, Providence Health & Services, Venrock"," Boston, Massachusetts, United States, North America"
4714, Insight Laboratories , — ," Golden, Colorado, United States, North America"
4715, Fitwall , — ," Irvine, California, United States, North America"
4716, Yikai Zhineng , DianLiang Capitals," Haidian, Beijing, China, Asia"
4717, Headspace ," Advancit Capital, Allen & Company LLC, Breyer Capital, Broadway Video Ventures, Cash Warren, Deerfield, Freelands Ventures, Jared Leto, Jeff Weiner, Jessica Alba, Next Play Ventures, Refactor Capital, Ryan Seacrest, The Chernin Group, WME"," Santa Monica, California, United States, North America"
4718, LabStreet ," Click Labs, Samar Singla"," Gurgaon, Haryana, India, Asia"
4719, mDoc , — ," Apapa, Lagos, Nigeria, Africa"
4720, viihealth , Ben Franklin Technology Partners of Northeastern Pennsylvania," Bethlehem, Pennsylvania, United States, North America"
4721, Establishment Labs ," Crown Predator Holdings, JW Asset Management, Scott H. Cohen"," New York, New York, United States, North America"
4722, Aviana Molecular Technologies , Florida Institute for the Commercialization of Public Research," Orlando, Florida, United States, North America"
4723, VillageMD ," Oak HC/FT, Oxeon Partners"," Chicago, Illinois, United States, North America"
4724, Ativa Medical , — ," Saint Paul, Minnesota, United States, North America"
4725, PHASIQ , Zell Lurie Commercialization Fund," Ann Arbor, Michigan, United States, North America"
4726, Ativa Medical ," Diamond BioFund, Hermed Capital, LabCorp, Ping An Ventures"," Saint Paul, Minnesota, United States, North America"
4727, Percans Oncology ," Legend Capital, Legend Star"," Changping, Beijing, China, Asia"
4728, SiMPLInext , Venture Kick," Neuchâtel, Neuchatel, Switzerland, Europe"
4729, Alector ," GV, Mission Bay Capital, MRL Ventures Fund, OrbiMed, Polaris Partners, Topspin Partners"," San Francisco, California, United States, North America"
4730, First Light Diagnostics ," Keiretsu Capital, Keiretsu Forum Northwest"," Bedford, Massachusetts, United States, North America"
4731, V-Sense Medical ," IndieBio, SOSV"," San Francisco, California, United States, North America"
4732, Lincoln Peak Partners ," Better Outcomes, FreshTracks Capital"," Newton, Massachusetts, United States, North America"
4733, PharmaBiome , Venture Kick," Zürich, Zurich, Switzerland, Europe"
4734, Grupo Fleury , Advent International," Jabaquara, Sao Paulo, Brazil, South America"
4735, Omada Health ," Andreessen Horowitz, Designer Fund, dRx Capital, GE Ventures, Humana, Norwest Venture Partners, Providence Health & Services, Rock Health, U.S. Venture Partners (USVP)"," San Francisco, California, United States, North America"
4736, BioMedomics , National Institutes of Health," Morrisville, North Carolina, United States, North America"
4737, DJ HealthUnion Systems Corp , Hao Capital," Shanghai, Shanghai, China, Asia"
4738, iUFlow ," Geelong Angel Investor Network, Melbourne Angels"," Oakleigh, Victoria, Australia, Oceania"
4739, United Skin Specialists , Tonka Bay Equity Partners," Minneapolis, Minnesota, United States, North America"
4740, Yifei Huatong ," Xiangyun Taihe Touzi, Yongji Chuangtou"," Daxing, Beijing, China, Asia"
4741, Letaotao , Rongxi Venture," Guangzhou, Guangdong, China, Asia"
4742, Cdfortis.com , Tiantu Capital," Chengdu, Sichuan, China, Asia"
4743, CoachCare , Kli Capital," New York, New York, United States, North America"
4744, Oscar Health ," CapitalG, GV"," New York, New York, United States, North America"
4745, SpineDynx , — ," Westerville, Ohio, United States, North America"
4746, Treatspace , Birchmere Ventures," Pittsburgh, Pennsylvania, United States, North America"
4747, Tabib Group , AFNA Solutions," Jedda, Makkah, Saudi Arabia, Asia"
4748, Pharmasimple , — ," Rhode-saint-genèse, Vlaams-Brabant, Belgium, Europe"
4749, US HealthCenter , — ," Thiensville, Wisconsin, United States, North America"
4750, BioSense , — ," Detroit, Michigan, United States, North America"
4751, UNIMED ," Legend Capital, Legend Star, Matrix Partners China"," Beijing, Beijing, China, Asia"
4752, RapidForce , — ," Hartland, Wisconsin, United States, North America"
4753, Somna Therapeutics , — ," Germantown, Wisconsin, United States, North America"
4754, Bridgecrest Medical , — ," San Diego, California, United States, North America"
4755, Lumity ," Rock Health, Social Capital, True Ventures"," San Mateo, California, United States, North America"
