,Round
7698, Debt Financing - Recursion Pharmaceuticals 
7699, Grant - NYU Langone Medical Center 
7700, Product Crowdfunding - Nozpad 
7701, Venture Round - Arinna Lifesciences 
7702, Venture Round - Planet DDS 
7703, Angel Round - Medioctor 
7704, Convertible Note - Jintronix 
7705, Series B - Saluda Medical 
7706, Venture Round - NovaTract Surgical 
7707, Venture Round - Molecular Match 
7708, Series A - Avidicare AB 
7709, Seed Round - Modoo 
7710, Seed Round - Liquid Health Labs 
7711, Series A - Merganser Biotech 
7712, Venture Round - ArcScan 
7713, Venture Round - KASIOS 
7714, Series A - Evermind 
7715, Debt Financing - NeoChord 
7716, Seed Round - eQOL 
7717, Series A - Lifecode 
7718, Pre Seed Round - Sensome 
7719, Pre Seed Round - Blooders 
7720, Venture Round - Enspectra Health 
7721, Venture Round - ZO Skin Health 
7722, Private Equity Round - Vascular Therapies 
7723, Debt Financing - Ocunexus Therapeutics 
7724, Private Equity Round - Corepoint Health 
7725, Series B - MiRagen 
7726, Venture Round - Aerami Therapeutics 
7727, Seed Round - Teslawatch 
7728, Series A - iGetBetter 
7729, Post-IPO Equity - IceCure Medical Ltd. 
7730, Grant - Mayden 
7731, Seed Round - Purple Binder 
7732, Venture Round - POCARED Diagnostics Ltd. 
7733, Seed Round - MyCareText 
7734, Post-IPO Equity - Altimmune 
7735, Convertible Note - Shade 
7736, Seed Round - Visibly 
7737, Seed Round - Varsa Health 
7738, Seed Round - Third Eye Health 
7739, Funding Round - Ludi 
7740, Seed Round - Entopsis 
7741, Venture Round - Opargo 
7742, Series B - Laguna Pharmaceuticals 
7743, Seed Round - Secure Healing 
7744, Series G - Proteus Digital Health 
7745, Venture Round - UVLrx Therapeutics 
7746, Series B - Michelson Diagnostics 
7747," Venture Round - Rainbow Medical, Ltd. "
7748, Series A - Enterprise Therapeutics 
7749, Convertible Note - Molekule 
7750, Equity Crowdfunding - MakeWay Wellness 
7751, Convertible Note - Lully 
7752, Venture Round - Catapult Health 
7753, Pre Seed Round - SynsorMed 
7754, Venture Round - NextGen Healthcare 
7755, Series A - Hukui Bio 
7756, Seed Round - Tictrac 
7757, Venture Round - Laxmi Dental 
7758, Seed Round - IncludeHealth 
7759, Post-IPO Debt - NMC Health 
7760, Series A - Yidu Cloud 
7761, Seed Round - Mr Patch 
7762, Seed Round - FocusMotion 
7763, Venture Round - Aston EyeTech Ltd 
7764, Non Equity Assistance - NarrativeDx 
7765, Convertible Note - Innovative Trauma Care 
7766, Product Crowdfunding - BodyBoss 
7767, Angel Round - MyFormulary LLC 
7768, Seed Round - Mapmygenome 
7769, Funding Round - Greatsoft 
7770, Seed Round - Cutting Edge Superconductors 
7771, Venture Round - Irisys 
7772, Private Equity Round - Invuity 
7773, Debt Financing - Relievant Medsystems 
7774, Seed Round - Pulmo Pharma 
7775, Convertible Note - Ayda 
7776, Seed Round - Bio-Logic 
7777, Series A - ACT Genomics 
7778, Seed Round - Epistates 
7779, Debt Financing - Endotronix 
7780, Venture Round - HeartFlow 
7781, Series B - Practo 
7782, Funding Round - Herbaceous Inc. 
7783, Venture Round - Truminim 
7784, Post-IPO Equity - Abliva 
7785, Convertible Note - Avizia 
7786, Series B - Sommetrics 
7787, Angel Round - KARRYTECH 
7788, Series A - Yanzhifang 
7789, Angel Round - Dr.Seek 
7790, Series A - Bivarus 
7791, Grant - Kinnos 
7792," Series A - WinSanTor, Inc. "
7793, Series H - OrSense 
7794, Venture Round - International Clinical Laboratories 
7795, Convertible Note - OBMedical 
7796, Corporate Round - Voyager Therapeutics 
7797, Debt Financing - Spyryx Biosciences 
7798, Series B - Cidara Therapeutics 
7799, Post-IPO Equity - Ipca Laboratories 
7800, Series B - Vaxxas 
7801, Series B - BSC 
7802, Angel Round - Greatsoft 
7803, Seed Round - MEDFAR Clinical Solutions 
7804, Venture Round - REACH Health 
7805, Venture Round - Valant 
7806, Angel Round - Signeon 
7807, Venture Round - Complion 
7808, Debt Financing - NxThera 
7809, Venture Round - PromoFarma.com 
7810, Venture Round - Medacheck LLC 
7811, Venture Round - Align 
7812, Series A - ePatientFinder 
7813, Seed Round - Ventrix 
7814, Angel Round - MedAware Systems 
7815, Series B - Quantum Biosystems 
7816, Venture Round - BionPharma 
7817, Seed Round - Advantia Health 
7818, Series B - Verana Health 
7819, Venture Round - Tango Health 
7820, Private Equity Round - Zorgverlening PGZ 
7821, Venture Round - Kalpaveda Essential Ayurveda 
7822, Venture Round - lifeIMAGE 
7823, Post-IPO Debt - Melinta 
7824, Seed Round - anamne Inc. 
7825, Seed Round - GymLion 
7826, Series A - Imagine Health 
7827, Post-IPO Debt - ReShape Lifesciences 
7828, Debt Financing - NinePoint Medical 
7829, Series A - Affinity Biosensors 
7830, Product Crowdfunding - Cell Therapy 
7831, Seed Round - Cuckoo Workout 
7832, Angel Round - FitSAMO 
7833, Venture Round - Sonocine 
7834, Seed Round - AltusLearn 
7835, Post-IPO Equity - Mithra Pharmaceuticals SA 
7836, Debt Financing - Trans World Health Services 
7837, Seed Round - Carson Life 
7838, Debt Financing - iScreen Vision 
7839, Seed Round - HistoWiz 
7840, Debt Financing - AgeneBio 
7841, Debt Financing - AgaMatrix 
7842, Seed Round - Steth IO 
7843, Post-IPO Equity - Agile Therapeutics 
7844, Venture Round - Relisys 
7845, Series A - Velano Vascular 
7846, Pre Seed Round - Healthy Bytes 
7847, Series A - Kura MD 
7848, Debt Financing - Pursuit Vascular 
7849, Series B - Antidote.me 
7850, Seed Round - GlucoIQ 
7851, Venture Round - Lifes2Good 
7852, Venture Round - ORIG3N 
7853, Debt Financing - AquaHydrate 
7854, Seed Round - TapGenes 
7855, Series C - Pflegebox 
7856, Seed Round - Fortified Food Coatings 
7857, Seed Round - Moving Analytics 
7858, Seed Round - GroupHub 
7859, Series A - Revolution Medicines 
7860, Funding Round - Valneva 
7861, Series A - Sprout 
7862, Series B - FABPulous 
7863, Post-IPO Equity - Cleveland BioLabs 
7864, Seed Round - Monica Healthcare 
7865, Seed Round - MyDNA 
7866, Venture Round - Adaptimmune 
7867, Seed Round - FeetMe 
7868, Series A - Lysosomal Therapeutics 
7869, Seed Round - FRSH 
7870, Venture Round - SteadyMed Therapeutics 
7871, Private Equity Round - Custopharm 
7872, Venture Round - Protix Biosystems 
7873, Post-IPO Equity - Supreme Cannabis 
7874, Venture Round - Global BioDiagnostics 
7875, Series C - Guardant Health 
7876, Series C - Brickell Biotech 
7877, Venture Round - Dispersol Technologies 
7878, Venture Round - Force Therapeutics 
7879, Venture Round - IQ Messenger 
7880, Venture Round - Variant Pharmaceuticals 
7881, Post-IPO Equity - Catalyst Biosciences 
7882, Post-IPO Equity - Capricor Therapeutics 
7883, Post-IPO Debt - Cell MedX 
7884, Seed Round - Medic Creations 
7885, Series B - EmployerDirect Healthcare 
7886, Non Equity Assistance - Vaxess Technologies 
7887, Post-IPO Debt - Emergent BioSolutions 
7888, Seed Round - Landmark Health 
7889, Series A - GRANDSONG MEDICAL 
7890, Venture Round - Asante Solutions 
7891, Venture Round - River Vision Development 
7892, Venture Round - Emerge Diagnostics 
7893, Seed Round - Video Medicine 
7894, Convertible Note - BioFab 
7895, Series A - Skipta 
7896, Angel Round - Zdorovio 
7897, Seed Round - Medocity 
7898, Series A - Wave Life Sciences 
7899, Private Equity Round - Thymes 
7900, Angel Round - Doctoriya 
7901, Grant - Magnisense 
7902, Grant - Ichor Therapeutics 
7903, Venture Round - zakipoint Health 
7904, Seed Round - Phylos 
7905, Series A - Molecular Life 
7906, Seed Round - XpertDox 
7907, Venture Round - Ambra BioScience LLC - Lovidia 
7908, Seed Round - yuguo.cn 
7909, Series A - Jiankang Zhilu 
7910, Venture Round - Awair 
7911, Seed Round - AltusLearn 
7912, Non Equity Assistance - Tine Health 
7913, Venture Round - OBMedical 
7914, Seed Round - MyRounding 
7915, Seed Round - BioBeats 
7916, Seed Round - MobileODT 
7917, Grant - SensoVANN 
7918, Grant - OBS Medical 
7919, Grant - Lucid Group 
7920, Seed Round - EmbraceHer Health 
7921, Grant - Tide Microfluidics 
7922, Series A - Adela Health Inc. 
7923, Seed Round - LifeAssist Technologies 
7924, Seed Round - Gliimpse 
7925, Grant - Accentus Medical 
7926, Seed Round - xRapid 
7927, Seed Round - KeepVision 
7928, Angel Round - Physiclo 
7929, Grant - Genialis 
7930, Seed Round - Dovetail Care 
7931, Series B - doktorsitesi.com 
7932, Seed Round - BaziFIT 
7933, Series D - CartiHeal 
7934, Seed Round - VoyagerMed 
7935, Seed Round - Sprayable Energy 
7936, Series A - Sky Medical Technology 
7937, Grant - Ferentis 
7938, Seed Round - Tricog Health 
7939, Venture Round - Medpharm Holdings Africa 
7940, Grant - IVTech 
7941, Grant - Scaffdex Oy 
7942, Grant - Medtep 
7943, Equity Crowdfunding - Immune Tolerance 
7944, Seed Round - Vuno 
7945, Grant - Dynamic Health 
7946, Seed Round - TalkLife 
7947, Seed Round - MedShr 
7948, Seed Round - Kodu Care 
7949, Series A - NuvoMed 
7950, Grant - Just Checking 
7951, Grant - 1d3a 
7952, Grant - NuvOx Pharma 
7953, Seed Round - Moving Analytics 
7954, Seed Round - UnaliWear 
7955, Seed Round - Twiage 
7956, Convertible Note - PlanGrade 
7957, Grant - Medilync 
7958, Seed Round - HealthCode.io 
7959, Seed Round - Klara 
7960, Convertible Note - Onēva 
7961, Debt Financing - Drinkme 
7962, Venture Round - Globavir 
7963, Series A - Jiahui Health 
7964, Series A - ideabinder 
7965, Seed Round - Caption Health 
7966, Venture Round - Koelsch Communities 
7967, Corporate Round - Solasia Pharma 
7968," Post-IPO Equity - BioSig Technologies, Inc. "
7969, Seed Round - Digime 
7970, Private Equity Round - Novicare 
7971, Seed Round - Bridgecrest Medical 
7972, Venture Round - GymForLess 
7973, Convertible Note - Adherial 
7974, Seed Round - ALTATHERA Pharmaceuticals 
7975, Debt Financing - Vita Healthcare Group 
7976, Venture Round - Dova Pharmaceuticals 
7977, Convertible Note - Respira Therapeutics 
7978, Grant - InterveXion Therapeutics 
7979, Debt Financing - Aspire Bariatrics 
7980, Seed Round - Trans World Health Services 
7981, Venture Round - Maui Imaging 
7982, Venture Round - Capsos Medical 
7983, Seed Round - In’Oya 
7984, Post-IPO Equity - Aldeyra Therapeutics 
7985, Equity Crowdfunding - Arisone Home Health Care 
7986, Series C - Binx Health 
7987, Seed Round - KptnCook 
7988, Series A - Jat Jiyuan 
7989, Seed Round - [m]pirik 
7990, Venture Round - Medirio 
7991, Debt Financing - HealthSpot 
7992, Venture Round - Amra 
7993, Series B - Trice Medical 
7994, Post-IPO Equity - Vexim 
7995, Series A - Verato 
7996, Seed Round - MouthWatch 
7997, Series B - ProteoMediX 
7998, Seed Round - Nurep 
7999, Seed Round - Elucent Medical 
8000, Convertible Note - Edamam 
8001, Venture Round - Advance Health 
8002, Angel Round - MEDP.AI 
8003, Seed Round - NouvEau 
8004, Venture Round - Xenex 
8005, Convertible Note - Profound Medical Inc 
8006, Venture Round - Crossover Health 
8007, Debt Financing - Clinicient 
8008, Convertible Note - Rumble Supershake 
8009, Equity Crowdfunding - G2 Works 
8010, Series C - Iora Health 
8011, Seed Round - Orthogonal Diagnostic 
8012, Series B - enGene 
8013, Venture Round - Brainsgate 
8014, Equity Crowdfunding - Weight Loss Clubs Worldwide 
8015, Post-IPO Equity - Fresenius Medical Care 
8016, Grant - Theravectys 
8017, Debt Financing - Syntilla Medical 
8018, Series A - ImmunoPhotonics 
8019, Series C - Lineagen 
8020, Grant - Isansys Lifecare 
8021, Venture Round - ConnectYourCare 
8022, Venture Round - USGI Medical 
8023, Venture Round - Breathe Technologies 
8024, Angel Round - emportal.ru 
8025, Seed Round - Neeuro 
8026, Non Equity Assistance - AdvanPro 
8027, Venture Round - Encore Rehabilitation 
8028, Post-IPO Debt - Medtronic 
8029, Series A - Xin Tan Suo 
8030, Seed Round - Alpine Immune Sciences 
8031, Pre Seed Round - Oncora Medical 
8032, Debt Financing - Pearce Angus Ranch 
8033, Venture Round - Life Systems Medizintechnik-Service 
8034, Series A - Vitargent 
8035, Seed Round - Med Lighter 
8036, Venture Round - Carrum Health 
8037, Venture Round - Oncolix 
8038, Venture Round - EffiNov Laboratory 
8039, Post-IPO Equity - K2M 
8040, Seed Round - LIFT Session 
8041, Venture Round - Innovetive Petcare 
8042, Equity Crowdfunding - Infina Connect Healthcare Systems 
8043, Series A - TheraSolve 
8044, Series A - CareMessage 
8045, Seed Round - connectRN 
8046, Seed Round - Oricula Therapeutics 
8047, Seed Round - Emergency Medicine Scribe Systems 
8048, Angel Round - Xiaoliyu Yuer 
8049, Venture Round - ExploraMed 
8050, Seed Round - Treace Medical Concepts 
8051, Venture Round - Tru Dental Management 
8052, Debt Financing - InterValve 
8053, Angel Round - Easyhin Technology 
8054, Post-IPO Equity - Genetic Technologies 
8055, Seed Round - Selvera 
8056, Venture Round - Verax Biomedical 
8057, Seed Round - Versantis 
8058, Series A - FEops 
8059, Series A - Willow 
8060, Venture Round - gingerCube 
8061, Seed Round - MalarVx 
8062, Venture Round - Kangzhi Jia 
8063, Venture Round - Alchemist Accelerator 
8064, Seed Round - Holganix 
8065, Series F - EarlySense 
8066, Seed Round - NaturalPad 
8067, Series A - KPI Therapeutics 
8068, Venture Round - Health Recovery Solutions 
8069, Venture Round - TISSIUM 
8070, Seed Round - LIR 
8071, Angel Round - OnHealthNet 
8072, Seed Round - Eko 
8073, Post-IPO Debt - Minerva Neuroscience 
8074, Seed Round - Kopari Beauty 
8075, Convertible Note - Smart Monitor 
8076, Seed Round - Ways of Eating 
8077, Seed Round - Ninu 
8078, Seed Round - Kindly Care 
8079, Grant - MediResource 
8080, Angel Round - Dongkang 
8081, Seed Round - Healthy World 
8082, Seed Round - netagenda Inc. 
8083, Equity Crowdfunding - Appian Medical 
8084, Venture Round - ConceptoMed 
8085, Angel Round - Maidou Yisheng 
8086, Convertible Note - World Lifestyle 
8087, Seed Round - Stride Health 
8088, Series A - Human API 
8089, Venture Round - NanoEngineering 
8090, Angel Round - MyMiao 
8091, Seed Round - MaaT Pharma 
8092, Series A - Alphaeon 
8093, Convertible Note - BTG International 
8094, Seed Round - ekincare 
8095, Venture Round - Arquer Diagnostics 
8096, Convertible Note - Wellcoin 
8097, Venture Round - SynergEyes 
8098, Seed Round - HALSAmd 
8099, Seed Round - Dental Cloud 
8100, Venture Round - Novian Health 
8101, Convertible Note - GrandCare Systems 
8102, Seed Round - Kinestica 
8103, Equity Crowdfunding - MediGuard Technologies 
8104, Private Equity Round - Quick Med Claims 
8105, Venture Round - Petbrosia 
8106, Seed Round - Nomful 
8107, Venture Round - CorMatrix 
8108, Post-IPO Debt - Transgenomic 
8109, Series B - Retrotope 
8110, Venture Round - Pawar Electro Systems 
8111, Venture Round - Phoenix Clinical 
8112, Series A - Schweiger Dermatology 
8113, Seed Round - Aristotle Health. 
8114, Angel Round - CRYO Holdings 
8115, Seed Round - Neoantigenics 
8116, Venture Round - Azalea Health 
8117, Venture Round - INRange Systems 
8118, Seed Round - Imaging3 
8119, Seed Round - Anavara Limited 
8120, Seed Round - Polarisol KFT. 
8121, Seed Round - HintMD 
8122, Seed Round - Augmedics 
8123, Seed Round - quip 
8124, Series B - ClassPass 
8125, Seed Round - Yoga Vida 
8126, Venture Round - SCIO Health Analytics 
8127, Venture Round - R65 Labs 
8128, Debt Financing - Relaxis 
8129, Series B - TruMed Systems 
8130, Debt Financing - Obalon Therapeutics 
8131, Series A - Rosa Labs 
8132, Series D - Proclara Biosciences 
8133, Series B - GeneCentric Diagnostics 
8134, Equity Crowdfunding - Ambicare Health 
8135, Private Equity Round - LensAR 
8136, Seed Round - Epitech 
8137, Series B - Veryan Medical 
8138, Convertible Note - Accel Diagnostics 
8139, Series A - Soylent 
8140, Post-IPO Debt - EOS Imaging 
8141, Seed Round - Eligible 
8142, Grant - MyLife Technologies 
8143, Seed Round - Isowalk 
8144, Seed Round - CirrusMD 
8145, Series D - Obalon Therapeutics 
8146, Series C - Personalis 
8147, Seed Round - MeetMindful 
8148, Series B - Apama Medical 
8149, Venture Round - Strongbridge Biopharma 
8150, Venture Round - MetaModix 
8151, Grant - Hylomorph 
8152, Venture Round - Spring Bank Pharmaceuticals 
8153, Venture Round - Forward Health Group 
8154, Series A - BlueDot 
8155, Venture Round - Michigan Endoscopy Center 
8156, Series A - Qstream 
8157, Grant - Medical Templates 
8158, Series A - MediSens 
8159, Equity Crowdfunding - Virtual Run 
8160," Series B - Interface Biologics, Inc. "
8161, Venture Round - USRetina 
8162, Convertible Note - SCYFIX 
8163, Seed Round - InFlectis BioScience 
8164, Series A - SamanTree Medical 
8165, Series A - Clerio Vision 
8166, Private Equity Round - mdBriefCase 
8167, Grant - Pharmia 
8168, Series A - Augmedix 
8169, Grant - CO.RA. 
8170, Seed Round - Kasseler Stottertherapie 
8171, Venture Round - Drink Daily Greens 
8172, Debt Financing - Xercise4less 
8173, Venture Round - Cephea Valve Technologies 
8174, Grant - Made for Movement 
8175, Series B - Kit Check 
8176, Equity Crowdfunding - 2nd Chance Solutions 
8177, Seed Round - Teddy The Guardian 
8178, Venture Round - Healarium 
8179, Non Equity Assistance - Nucleix 
8180, Seed Round - ensa 
8181, Seed Round - Arcatron Mobility 
8182, Convertible Note - SanusEO 
8183, Seed Round - RemédioCerto 
8184, Seed Round - INRFOOD 
8185, Seed Round - Atlas Regeneration 
8186, Equity Crowdfunding - ReaLens 
8187, Seed Round - Smart Baking Company 
8188, Seed Round - Click Help 
8189, Angel Round - Wingspan 
8190, Venture Round - Victory Medical Center Craig Ranch 
8191, Seed Round - Unbooked Appointments 
8192, Series A - CXA Group 
8193, Venture Round - Inventure 
8194, Venture Round - Ingenious Med 
8195, Venture Round - Health Fidelity 
8196, Seed Round - Nano Tech Projects SRL 
8197, Series C - ViewRay 
8198, Seed Round - Stablepharma Ltd 
8199, Series B - Hemics 
8200, Venture Round - Nanovis 
8201, Seed Round - NeuroLief 
8202, Private Equity Round - eSolutions 
8203, Post-IPO Debt - Cerulean Pharma 
8204, Venture Round - AlemHealth 
8205, Venture Round - Piedmont Stone Center 
8206, Angel Round - OneLIFE 
8207, Debt Financing - eWellness Corporation 
8208, Series C - AveXis 
8209, Venture Round - Alzheon 
8210, Post-IPO Equity - Cerulean Pharma 
8211, Venture Round - Rijuven 
8212, Series A - Surface Oncology 
8213, Series B - Hua Medicine 
8214, Private Equity Round - Crossroads Treatment Centers 
8215, Seed Round - MedPanel 
8216, Series A - Par8o 
8217, Seed Round - Hintsa 
8218, Debt Financing - Physcient 
8219, Series B - Miracor Medical 
8220, Grant - Nuviant Medical 
8221, Seed Round - AlayaCare 
8222, Series D - Welltok 
8223, Debt Financing - Trevi Therapeutics 
8224, Venture Round - Sentec 
8225, Series A - Vtesse 
8226, Seed Round - Yomp 
8227, Seed Round - Emmunity 
8228, Seed Round - Kytera 
8229, Non Equity Assistance - Observe Design 
8230, Debt Financing - Azure Biotech 
8231, Series B - Xeris Pharmaceuticals 
8232, Debt Financing - Xeris Pharmaceuticals 
8233, Venture Round - CardioFocus 
8234, Post-IPO Equity - Genkyotex 
8235, Debt Financing - eVisit 
8236, Venture Round - Calcivis 
8237, Non Equity Assistance - Nibs 
8238, Series A - Apervita 
8239, Series B - Tarveda Therapeutics 
8240, Series B - Sera Prognostics 
8241, Series A - Medisafe 
8242, Venture Round - Cytogel Pharma 
8243, Series E - Adaptive Biotechnologies 
8244, Private Equity Round - Médipole Garonne 
8245, Grant - Antibody Lab GmbH 
8246, Series B - fitmob 
8247, Series D - Seres Therapeutics 
8248, Seed Round - Everly 
8249, Series B - Caremerge 
8250, Post-IPO Equity - Cynata 
8251, Series C - CytomX Therapeutics 
8252, Venture Round - CannTrust 
8253, Seed Round - Marketware 
8254, Venture Round - PeerBridge Health 
8255, Seed Round - Radial Analytics 
8256, Pre Seed Round - Extem 
8257, Post-IPO Equity - MetaStat 
8258, Venture Round - Sqord 
8259, Private Equity Round - Azurity Pharmaceuticals 
8260, Grant - Cytosystems 
8261, Seed Round - Health Programs USA 
8262, Seed Round - Empower Fitness Club 
8263, Debt Financing - ThermiAesthetics 
8264, Grant - ResuSciTec 
8265, Grant - OcuPharm Diagnostics 
8266, Angel Round - Soulmate 
8267, Series E - Moderna Therapeutics 
8268, Post-IPO Equity - Integrity Applications 
8269, Series B - SonarMed 
8270, Series C - GlySens 
8271, Series A - Symic Biomedical 
8272, Venture Round - Aquanano 
8273, Venture Round - Inflexxion 
8274, Grant - Cydar Medical 
8275, Venture Round - AZTherapies 
8276, Seed Round - Rock Health 
8277, Venture Round - Semba Biosciences 
8278, Seed Round - uGO Health 
8279, Seed Round - Torchlight 
8280, Grant - NatiMab Therapeutics 
8281, Seed Round - Cardiaccs AS 
8282, Venture Round - Wellbe 
8283, Venture Round - Transcend Medical 
8284, Venture Round - BluePearl Veterinary Partners 
8285, Series A - AILV 
8286, Angel Round - brinXY 
8287, Corporate Round - Beike Biotechnology 
8288, Pre Seed Round - Cloud 9 
8289, Pre Seed Round - Avidhrt 
8290, Series A - Cue Biopharma 
8291, Seed Round - The Health-Tech Innovation LABS 
8292, Series A - 7LeKang (7lk) 
8293, Grant - VASCOPS GmbH 
8294, Debt Financing - Lighter 
8295, Grant - Aquasonic Antical 
8296, Non Equity Assistance - Obaa 
8297, Venture Round - Nascent Surgical 
8298, Seed Round - Kokoon Technology 
8299, Debt Financing - Amplify Health 
8300, Grant - ScanZ 
8301, Series A - Tumentia Research 
8302, Seed Round - WiseWear 
8303, Series C - Lenskart 
8304, Series A - Etong Health 
8305, Funding Round - Aviron Interactive 
8306, Venture Round - Hyuga Primary Care 
8307, Post-IPO Debt - Bellicum Pharmaceuticals 
8308, Seed Round - GestureLogic 
8309, Venture Round - Eyebright 
8310, Seed Round - Cytek Biosciences 
8311, Venture Round - Tecla 
8312, Seed Round - Farapulse 
8313, Venture Round - Synapse Biomedical 
8314, Pre Seed Round - Anandia Labs 
8315, Angel Round - Jiuage 
8316, Pre Seed Round - Gotcare 
8317, Pre Seed Round - CoHealth 
8318," Series A - Beijing Tuo Rui Detection Technology Co., Ltd. "
8319, Pre Seed Round - Extem 
8320, Series A - mycs.cn 
8321, Seed Round - AllianceCare 
8322, Angel Round - Deep Spring Healthcare 
8323, Series B - Zhuojian Keji 
8324, Seed Round - Bang Er Orthopedic 
8325, Venture Round - Respira Medical 
8326, Seed Round - Pharmasimple 
8327, Series A - Sankai 
8328, Venture Round - Mission Bio 
8329, Pre Seed Round - Recope Society 
8330, Seed Round - HealthCrew 
8331, Pre Seed Round - Akido Labs 
8332, Venture Round - NextCure 
8333, Pre Seed Round - Athletigen 
8334, Pre Seed Round - ACTO 
8335, Venture Round - GSMS 
8336, Seed Round - Color 
8337, Private Equity Round - U.S. Renal Care 
8338, Angel Round - Selfapy 
8339, Angel Round - Warm Doctor 
8340, Non Equity Assistance - Starling Minds 
8341, Grant - Medella Health 
8342, Angel Round - Fullife Healthcare 
8343, Pre Seed Round - AgileCare Solutions 
8344, Seed Round - GroupHub 
8345, Angel Round - Eligo Bioscience 
8346, Angel Round - Zhaole 
8347, Pre Seed Round - Maria Health 
8348, Series A - GYENNO Technologies 
8349, Funding Round - Accushield 
8350, Angel Round - Qiezi Jiankang 
8351, Grant - breathe ilo 
8352, Seed Round - breathe ilo 
8353, Private Equity Round - Élivie 
8354, Seed Round - CGT Catapult 
8355, Angel Round - Xingzhi Zaixian 
8356, Seed Round - Workpath 
8357, Grant - Caribou Biosciences 
8358, Seed Round - Xycrobe Therapeutics 
8359, Funding Round - Somna Therapeutics 
8360, Series A - Yitu Technology 
8361, Venture Round - Animal Cell Therapies 
8362, Series B - InfoBionic 
8363, Funding Round - Adamo Robot 
8364, Angel Round - CARROT 
8365, Funding Round - Well Beyond Care 
8366, Series A - Beijing Allcure Medical Technology 
8367, Seed Round - Really 
8368, Seed Round - MedSentry 
8369, Debt Financing - myTomorrows 
8370, Post-IPO Equity - MagForce 
8371, Series B - Amoy Diagnostic Co Ltd 
8372, Venture Round - Telemedicine Solutions LLC 
8373, Seed Round - Invicta Medical 
8374, Series C - Haodf.com 
8375, Seed Round - Nurx 
8376, Seed Round - imin 
8377, Seed Round - Stealth Therapeutics 
8378, Convertible Note - Lifespeed 
8379, Seed Round - Doctify 
8380, Pre Seed Round - Club Soda 
8381, Funding Round - COPCAR 
8382, Grant - FlexDex 
8383, Pre Seed Round - X-ZELL 
8384, Series A - Genbio 
8385, Seed Round - Baby Doppler 
8386, Seed Round - Dignisen 
8387, Seed Round - Muun 
8388, Seed Round - IDEAYA Biosciences 
8389, Seed Round - Dr. McGrath’s 
8390, Seed Round - Gilded Cells 
8391, Private Equity Round - SunDoctors 
8392, Seed Round - So Shape 
8393, Seed Round - Ava 
8394, Seed Round - KindHealth 
8395, Non Equity Assistance - PhageTech 
8396, Grant - HoneyInsured 
8397, Series A - Oviva 
8398, Angel Round - GoodLux Technology 
8399, Non Equity Assistance - eTreat Medical Diagnostics Inc 
8400, Grant - Nemo Healthcare 
8401, Seed Round - I V Y Labs 
8402, Seed Round - eHealth MediDate 
8403, Seed Round - PMD Solutions 
8404," Series A - HealthExpense, Inc. "
8405, Pre Seed Round - 122 Labs 
8406, Seed Round - GOALY.COM 
8407, Seed Round - Oxford BioElectronics 
8408, Seed Round - CallingBox 
8409, Series E - Mitralign 
8410, Grant - Multiplicom 
8411, Non Equity Assistance - Nuada 
8412, Venture Round - B-Lite 
8413, Pre Seed Round - X2AI 
8414, Seed Round - myDiabby 
8415, Seed Round - Chino.io 
8416, Venture Round - Healthy Living at Home 
8417, Seed Round - SouthDoctors 
8418, Seed Round - Dova Pharmaceuticals 
8419, Grant - Abundnz 
8420, Seed Round - CHAIN Biotechnology 
8421, Seed Round - CLEW Medical 
8422, Grant - eTreat Medical Diagnostics Inc 
8423, Seed Round - American Health 
8424, Seed Round - PlantCT™ 
8425, Angel Round - Abogen 
8426, Seed Round - Rotavis 
8427, Pre Seed Round - Heads Up Health 
8428, Pre Seed Round - FREDsense 
8429, Seed Round - ConceirgeStat 
8430, Funding Round - Gan & Lee Pharmaceutical 
8431, Seed Round - T3S Technologies 
8432, Series A - Medlinker 
8433, Seed Round - Data+ Research 
8434, Convertible Note - WEconnect Health Management 
8435, Venture Round - CBA PHARMA 
8436, Private Equity Round - Metabiota 
8437, Pre Seed Round - aparito 
8438, Private Equity Round - NantiBodyFc 
8439, Seed Round - Origin Maternity Hospital 
8440, Seed Round - Nano-X 
8441, Seed Round - Solvanix 
8442, Venture Round - BodyCap 
8443, Series A - SkinVision 
8444, Funding Round - Rowheels 
8445, Seed Round - Fitwel 
8446, Venture Round - Oregon Therapeutics 
8447, Seed Round - BioConnected 
8448, Venture Round - HLA Data Systems 
8449, Pre Seed Round - Cura 
8450, Seed Round - Careseekers 
8451, Seed Round - Gold Standard Phantoms 
8452, Seed Round - OneLife.me 
8453, Venture Round - Single Technologies 
8454, Seed Round - inDispense 
8455, Seed Round - Lumind 
8456, Venture Round - ARCHIMEDICX 
8457, Seed Round - Impedans 
8458, Seed Round - InsightRX 
8459, Venture Round - Chundsell Medicals 
8460, Grant - 1Drop Diagnostics 
8461, Seed Round - Mofixx 
8462, Seed Round - Thiocyn 
8463, Post-IPO Equity - Brainsway 
8464, Seed Round - Mobile Baby Vita 
8465, Grant - Aural Analytics 
8466, Seed Round - Lineavi 
8467, Seed Round - Menopause.ai 
8468, Venture Round - Siamab Therapeutics 
8469, Seed Round - Methuselah Health 
8470, Series B - SPR Therapeutics 
8471, Series A - UNITY Biotechnology 
8472, Series A - Etong Healthcare 
8473, Venture Round - Ythera 
8474, Grant - Medis Medical Imaging Systems BV 
8475, Seed Round - Ogenblik 
8476, Angel Round - ABC Healthcare 
