node,country,continent,industry,bipartite,id,deg_max,deg_min,deg_median,voterank_max,voterank_min,voterank_median,clustering_max,clustering_min,clustering_median,harmonic_centrality_max,harmonic_centrality_min,harmonic_centrality_median,closeness_centrality_max,closeness_centrality_min,closeness_centrality_median,newman_betweenness_centrality_max,newman_betweenness_centrality_min,newman_betweenness_centrality_median,pagerank_max,pagerank_min,pagerank_median,betweenness_centrality_max,betweenness_centrality_min,betweenness_centrality_median,eigenvector_centrality_max,eigenvector_centrality_min,eigenvector_centrality_median,average_neighbor_degree_max,average_neighbor_degree_min,average_neighbor_degree_median,num_inv,deg_org,voterank_org,clustering_org,core_number_org,harmonic_centrality_org,closeness_centrality_org,newman_betweenness_centrality_org,pagerank_org,eigenvector_centrality_org,average_neighbor_degree_org
Sardinia Genomics,Italy,Europe,Biotechnology,1,9816,143.0,143.0,143.0,23.0,23.0,23.0,0.073377327,0.073377327,0.073377327,1049.533333,1049.533333,1049.533333,0.374277023,0.374277023,0.374277023,0.03844796,0.03844796,0.03844796,0.003273621,0.003273621,0.003273621,0.038686248,0.038686248,0.038686248,0.019318645,0.019318645,0.019318645,35.57342657,35.57342657,35.57342657,1,81.0,,1.0,81.0,652.5333333,0.34487633,0.0,0.000947821,0.059336537,96.9382716
Surgical Connection,United States,North America,Medical Devices & Equipment,1,9817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Ablynx,Belgium,Europe,Drug Development,1,9818,110.0,110.0,110.0,98.0,98.0,98.0,0.263412946,0.263412946,0.263412946,1052.733333,1052.733333,1052.733333,0.379081695,0.379081695,0.379081695,0.003556203,0.003556203,0.003556203,0.001290083,0.001290083,0.001290083,0.003717562,0.003717562,0.003717562,0.054971582,0.054971582,0.054971582,88.1,88.1,88.1,1,15.0,,1.0,15.0,608.1333333,0.331872413,0.0,0.000245341,0.009908652,108.0
CePeP,Sweden,Europe,Drug Development,1,9820,14.0,14.0,14.0,834.0,834.0,834.0,0.241758242,0.241758242,0.241758242,805.2166667,805.2166667,805.2166667,0.299950554,0.299950554,0.299950554,0.001777159,0.001777159,0.001777159,0.000462739,0.000462739,0.000462739,0.001287302,0.001287302,0.001287302,0.001519719,0.001519719,0.001519719,42.57142857,42.57142857,42.57142857,1,13.0,1153.0,1.0,13.0,517.4333333,0.28452631,0.0,0.000352217,0.002702689,43.23076923
EVP,United States,North America,Biotechnology,1,9822,44.0,3.0,13.0,1952.0,328.0,423.0,1.0,0.280780781,0.43437863,945.8166667,601.1,826.8166667,0.345232822,0.227482875,0.305161616,0.001349114,0.0,0.000801102,0.000608304,0.000138394,0.000300357,0.00132,0.0,0.000771103,0.012335492,4.95e-05,0.003280043,75.83783784,8.333333333,57.23076923,5,8.0,,0.535714286,8.0,565.6333333,0.309901522,5.38e-06,0.00019433,0.002587179,71.625
InGen BioSciences,France,Europe,Drug Development,1,9824,3.0,3.0,3.0,1951.0,1951.0,1951.0,1.0,1.0,1.0,545.7095238,545.7095238,545.7095238,0.207575806,0.207575806,0.207575806,0.0,0.0,0.0,0.000195178,0.000195178,0.000195178,0.0,0.0,0.0,5.9e-06,5.9e-06,5.9e-06,8.0,8.0,8.0,2,2.0,995.0,1.0,2.0,382.4119048,0.216793941,0.0,0.00023475,1.23e-05,5.5
Appetite Control,Sweden,Europe,Biotechnology,1,9826,10.0,10.0,10.0,350.0,350.0,350.0,0.142857143,0.142857143,0.142857143,565.0880952,565.0880952,565.0880952,0.214074817,0.214074817,0.214074817,0.000877479,0.000877479,0.000877479,0.000555233,0.000555233,0.000555233,0.000793871,0.000793871,0.000793871,1.35e-05,1.35e-05,1.35e-05,5.5,5.5,5.5,1,12.0,1148.0,1.0,12.0,470.3666667,0.258278495,0.0,0.000435344,0.000888284,23.41666667
Ionalytics,Canada,North America,Drug Development,1,9827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Pronostics,United Kingdom,Europe,Biotechnology,1,9828,12.0,12.0,12.0,1873.0,1873.0,1873.0,0.355555556,0.355555556,0.355555556,769.7833333,769.7833333,769.7833333,0.287385629,0.287385629,0.287385629,0.000356461,0.000356461,0.000356461,0.000321261,0.000321261,0.000321261,0.000266815,0.000266815,0.000266815,0.000991194,0.000991194,0.000991194,33.08333333,33.08333333,33.08333333,1,9.0,733.0,1.0,9.0,497.0166667,0.273462868,0.0,0.000314484,0.001638354,37.55555556
AgeLab Pharma,Germany,Europe,Pharmaceuticals / Drugs,1,9830,4.0,4.0,4.0,,,,1.0,1.0,1.0,647.0595238,647.0595238,647.0595238,0.243815258,0.243815258,0.243815258,0.0,0.0,0.0,0.000171747,0.000171747,0.000171747,0.0,0.0,0.0,0.000120362,0.000120362,0.000120362,19.25,19.25,19.25,1,1.0,,0.0,1.0,411.4761905,0.232646869,0.0,0.000108253,8e-05,25.0
Rinat Neuroscience,United States,North America,Drug Discovery,1,9831,176.0,9.0,37.0,1782.0,24.0,433.0,0.476190476,0.124155844,0.228571429,1125.0,798.9261905,915.15,0.401807161,0.297454615,0.333808013,0.018862062,3.62e-05,0.000650996,0.002389648,0.000183878,0.000560483,0.019666045,2.27e-05,0.000587955,0.074154304,0.002648099,0.009762474,71.35227273,61.88888889,67.13513514,3,24.0,1183.0,0.605072464,21.0,614.3,0.331572957,0.00011991,0.00039154,0.006409092,64.375
Amerigroup,United States,North America,Healthcare Plans,1,9833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Avid Bioservices,United States,North America,Biotechnology,1,9834,288.0,11.0,11.0,1387.0,4.0,999.0,0.694444444,0.121727395,0.694444444,1181.083333,794.5928571,794.5928571,0.411878737,0.292207674,0.292207674,0.01707615,4.05e-06,4.05e-06,0.003022014,0.000171778,0.000171778,0.01850118,1.76e-06,1.76e-06,0.13172185,0.006213378,0.006213378,89.54545455,69.24652778,89.54545455,3,3.0,,1.0,3.0,547.9166667,0.302005942,0.0,0.000121011,0.001829966,128.6666667
Warren Pharmaceuticals,United States,North America,Biotechnology,1,9835,12.0,12.0,12.0,1873.0,1873.0,1873.0,0.355555556,0.355555556,0.355555556,769.7833333,769.7833333,769.7833333,0.287385629,0.287385629,0.287385629,0.000356461,0.000356461,0.000356461,0.000321261,0.000321261,0.000321261,0.000266815,0.000266815,0.000266815,0.000991194,0.000991194,0.000991194,33.08333333,33.08333333,33.08333333,1,9.0,1123.0,1.0,9.0,497.0166667,0.273462868,0.0,0.000314484,0.001638354,37.55555556
Xpogen,United States,North America,Healthcare Software,1,9836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
3DDD Pharma,Belgium,Europe,Pharmaceuticals / Drugs,1,9838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Endogeny Bio,United States,North America,Biotechnology,1,9839,238.0,238.0,238.0,24.0,24.0,24.0,0.092153317,0.092153317,0.092153317,1480.45,1480.45,1480.45,0.410777635,0.410777635,0.410777635,0.026486224,0.026486224,0.026486224,0.002619002,0.002619002,0.002619002,0.027698716,0.027698716,0.027698716,0.051480427,0.051480427,0.051480427,76.88655462,76.88655462,76.88655462,1,61.0,,1.0,61.0,953.852381,0.365845956,0.0,0.00041356,0.017790596,132.6393443
Skylight Healthcare Systems,United States,North America,Healthcare Software,1,9840,75.0,75.0,75.0,87.0,87.0,87.0,0.247567568,0.247567568,0.247567568,985.9666667,985.9666667,985.9666667,0.356279789,0.356279789,0.356279789,0.002436615,0.002436615,0.002436615,0.000997711,0.000997711,0.000997711,0.002328799,0.002328799,0.002328799,0.018476025,0.018476025,0.018476025,59.88,59.88,59.88,1,14.0,,1.0,14.0,606.65,0.330529102,0.0,0.000244384,0.007339504,102.5
Ultrazonix,Sweden,Europe,Medical Devices & Equipment,1,9843,2.0,2.0,2.0,,,,0.0,0.0,0.0,575.2416667,575.2416667,575.2416667,0.218951656,0.218951656,0.218951656,3.04e-05,3.04e-05,3.04e-05,0.000146691,0.000146691,0.000146691,1.64e-05,1.64e-05,1.64e-05,2.04e-05,2.04e-05,2.04e-05,9.0,9.0,9.0,1,3.0,,1.0,3.0,408.2166667,0.230097514,0.0,0.000224719,1.54e-05,10.0
Nuevolution,Denmark,Europe,Drug Discovery,1,9844,32.0,2.0,17.0,1254.0,468.0,861.0,0.256048387,0.0,0.1280241935,926.65,0.0,463.325,0.338072692,0.0,0.169036346,0.000878351,0.0,0.0004391755,0.000504184,0.000390778,0.000447481,0.000710917,0.0,0.0003554585,0.011883516,1.17e-24,0.005941758,76.78125,1.0,38.890625,3,7.0,,1.0,7.0,566.35,0.309379692,0.0,0.000169911,0.002821614,86.57142857
Phylogix,United States,North America,Pharmaceuticals / Drugs,1,9847,129.0,129.0,129.0,64.0,64.0,64.0,0.248593926,0.248593926,0.248593926,1053.283333,1053.283333,1053.283333,0.3756571,0.3756571,0.3756571,0.00270236,0.00270236,0.00270236,0.00137608,0.00137608,0.00137608,0.002787974,0.002787974,0.002787974,0.065835454,0.065835454,0.065835454,85.07751938,85.07751938,85.07751938,2,2.0,,1.0,2.0,531.3166667,0.294384722,0.0,0.000112317,0.001277793,136.0
Z-KAT,United States,North America,Medical Devices & Equipment,1,9848,2.0,2.0,2.0,1377.0,1377.0,1377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000390778,0.000390778,0.000390778,0.0,0.0,0.0,1.17e-24,1.17e-24,1.17e-24,1.0,1.0,1.0,1,,,,,,,,,,
Centene,United States,North America,Healthcare Plans,1,9850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Aditus Medical,Sweden,Europe,Medical Devices & Equipment,1,9852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,,0.0,1.0,291.7809524,0.166217677,0.0,0.000183119,1.22e-07,5.0
Catchmabs,Netherlands,Europe,Biotechnology,1,9853,1.0,1.0,1.0,1920.0,1920.0,1920.0,0.0,0.0,0.0,1.0,1.0,1.0,0.00039093,0.00039093,0.00039093,0.0,0.0,0.0,0.000390778,0.000390778,0.000390778,0.0,0.0,0.0,1.17e-24,1.17e-24,1.17e-24,1.0,1.0,1.0,2,3.0,,1.0,3.0,3.0,0.001757469,0.0,0.00058548,1.24e-82,3.0
Columbia Laboratories,United States,North America,Pharmaceuticals / Drugs,1,9854,120.0,30.0,83.0,884.0,93.0,190.0,0.937931034,0.295199183,0.42183480500000003,1019.766667,831.0095238,953.30119045,0.361911921,0.301816636,0.340047425,0.001387714,1.56e-06,0.0006336215,0.001152699,0.000320975,0.0008224440000000001,0.001255506,1.35e-06,0.000600184,0.07862683,0.016660472,0.047437553,94.875,79.30337079,88.273405135,8,7.0,,0.523809524,7.0,557.0,0.304130544,2.39e-06,0.000169276,0.002744793,81.14285714
Borean Pharma,Denmark,Europe,Biotechnology,1,9856,12.0,3.0,7.5,1873.0,1873.0,1873.0,0.666666667,0.355555556,0.5111111115,769.7833333,579.4119048,674.59761905,0.287385629,0.220587216,0.2539864225,0.000356461,8.05e-06,0.0001822555,0.000321261,0.000143381,0.000232321,0.000266815,4.15e-06,0.0001354825,0.000991194,1.77e-05,0.000504447,33.08333333,10.0,21.541666665,3,11.0,484.0,0.709090909,9.0,500.3333333,0.274997739,0.000111302,0.000385314,0.001649694,32.27272727
Pharmatory,Finland,Europe,Medical Facilities & Services,1,9857,3.0,3.0,3.0,1484.0,921.0,1202.5,0.0,0.0,0.0,1.0,1.0,1.0,0.00039093,0.00039093,0.00039093,0.0,0.0,0.0,0.000390778,0.000390778,0.000390778,0.0,0.0,0.0,3.42e-22,3.42e-22,3.42e-22,2.0,2.0,2.0,3,,,,,,,,,,
Mamea Imaging,Sweden,Europe,Medical Devices & Equipment,1,9858,10.0,10.0,10.0,350.0,350.0,350.0,0.142857143,0.142857143,0.142857143,565.0880952,565.0880952,565.0880952,0.214074817,0.214074817,0.214074817,0.000877479,0.000877479,0.000877479,0.000555233,0.000555233,0.000555233,0.000793871,0.000793871,0.000793871,1.35e-05,1.35e-05,1.35e-05,5.5,5.5,5.5,1,,,,,,,,,,
Altus,United States,North America,Drug Development,1,9859,154.0,10.0,66.5,1804.0,31.0,174.0,0.857142857,0.158560394,0.22706694049999998,1108.55,800.4928571,983.1916665,0.397495925,0.298020201,0.356772687,0.006581566,2.28e-06,0.001996097,0.001916927,0.000172237,0.0008857335,0.007050796,1.5e-06,0.0019676570000000003,0.056041292,0.00277805,0.0201615135,87.24175824,46.14285714,66.21764706,8,48.0,296.0,0.262411348,31.0,676.3,0.362839525,0.001565573,0.000715941,0.018009966,74.9375
Sarossa Capital,United Kingdom,Europe,Biotechnology,1,9860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,,1.0,2.0,2.0,0.001171646,0.0,0.00058548,3.9599999999999995e-90,2.0
Clearant,United States,North America,Biotechnology,1,9861,161.0,161.0,161.0,28.0,28.0,28.0,0.179968944,0.179968944,0.179968944,1076.333333,1076.333333,1076.333333,0.380853105,0.380853105,0.380853105,0.010043269,0.010043269,0.010043269,0.001951597,0.001951597,0.001951597,0.010225451,0.010225451,0.010225451,0.072508246,0.072508246,0.072508246,71.83850932,71.83850932,71.83850932,1,27.0,1166.0,1.0,27.0,592.9666667,0.319813516,0.0,0.000419018,0.006813262,62.18518519
Aptamera,United States,North America,Biotechnology,1,9863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.0,789.0,1.0,2.0,2.0,0.001171646,0.0,0.00058548,3.9599999999999995e-90,2.0
Healthcare Management Directions,United States,North America,Medical Facilities & Services,1,9864,59.0,59.0,59.0,304.0,304.0,304.0,0.445938048,0.445938048,0.445938048,923.3428571,923.3428571,923.3428571,0.330988322,0.330988322,0.330988322,0.000291628,0.000291628,0.000291628,0.000610111,0.000610111,0.000610111,0.00024051,0.00024051,0.00024051,0.029201693,0.029201693,0.029201693,78.59322034,78.59322034,78.59322034,1,2.0,,1.0,2.0,497.3833333,0.276134307,0.0,0.000111242,0.000818758,76.0
D-Sense,United Kingdom,Europe,Medical Equipment & Supplies,1,9865,6.0,6.0,6.0,788.0,788.0,788.0,0.833333333,0.833333333,0.833333333,732.2833333,732.2833333,732.2833333,0.274789496,0.274789496,0.274789496,5.34e-06,5.34e-06,5.34e-06,0.000192414,0.000192414,0.000192414,5.46e-06,5.46e-06,5.46e-06,0.000452531,0.000452531,0.000452531,34.5,34.5,34.5,1,4.0,,1.0,4.0,457.0,0.253906187,0.0,0.000278105,0.000715313,26.5
iLIANT,United States,North America,Healthcare Software,1,9866,18.0,7.0,12.5,2019.0,1104.0,1561.5,0.9,0.35,0.625,879.5166667,796.6333333,838.075,0.32373119,0.296243692,0.309987441,0.000449533,4.48e-06,0.0002270065,0.000300451,0.000166501,0.00023347599999999999,0.000437988,3.04e-06,0.000220514,0.006494182,0.002022717,0.0042584495,77.16666667,70.42857143,73.79761905000001,4,5.0,,0.6,5.0,539.75,0.297122078,2.08e-05,0.000178551,0.001477068,64.8
Crystal Research,Sweden,Europe,Drug Development,1,9867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
LuKa OptoScope,Denmark,Europe,Medical Devices & Equipment,1,9869,2.0,2.0,2.0,1252.0,1252.0,1252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000390778,0.000390778,0.000390778,0.0,0.0,0.0,1.17e-24,1.17e-24,1.17e-24,1.0,1.0,1.0,1,1.0,,0.0,1.0,295.1988095,0.169436648,0.0,0.000232173,2.51e-08,2.0
Amicogen,South Korea,Asia,Biotechnology,1,9881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Angenix,United Kingdom,Europe,Medical Devices & Equipment,1,9885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8.0,902.0,1.0,8.0,8.833333333,0.003712504,0.0,0.00048938,9.980000000000001e-36,8.625
Celtic Catalysts,United Kingdom,Europe,Biotechnology,1,9886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Design Medical,United States,North America,Medical Devices & Equipment,1,9887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
H-Phar,Belgium,Europe,Pharmaceuticals / Drugs,1,9888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.0,1181.0,0.0,1.0,1.0,0.000482625,0.0,0.000482393,3.7400000000000003e-57,1.0
NHB,United States,North America,Medical Facilities & Services,1,9890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
PhotoBioChem,Netherlands,Europe,Disease Diagnosis,1,9891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,
Poalis,Denmark,Europe,Biotechnology,1,9892,21.0,1.0,8.0,673.0,673.0,673.0,0.628571429,0.0,0.4,927.1452381,600.2880952,786.402381,0.297930735,0.200875614,0.258691397,0.000660036,0.0,0.000633936,0.000311348,8.4e-05,0.000267298,0.000644874,0.0,0.000517534,0.00424885,2.51e-06,0.00022423,54.14285714,8.0,15.75,4,2.0,,0.0,2.0,531.4928571,0.246448512,6.52e-06,0.000105788,3.98e-05,26.0
ZGene,Denmark,Europe,Biotechnology,1,9895,9.0,9.0,9.0,1891.0,1891.0,1891.0,0.333333333,0.333333333,0.333333333,848.0690476,848.0690476,848.0690476,0.278765187,0.278765187,0.278765187,0.000506343,0.000506343,0.000506343,0.000226315,0.000226315,0.000226315,0.000472226,0.000472226,0.000472226,0.000544771,0.000544771,0.000544771,27.11111111,27.11111111,27.11111111,3,7.0,,1.0,7.0,581.0190476,0.26782857,0.0,0.000261262,0.000132125,16.71428571
Abzena,United Kingdom,Europe,Drug Development,1,9896,6.0,5.0,6.0,3367.0,1111.0,1899.0,1.0,0.5,0.5,935.102381,893.6623016,894.3289683,0.19203157,0.184399037,0.184416763,0.000758799,0.0,8.3e-05,0.000227683,0.000167927,0.000191843,0.000758799,0.0,1.95e-05,3.41e-07,1.01e-07,1.01e-07,6.0,5.166666667,5.4,3,7.0,1360.0,0.523809524,5.0,7.0,0.001750875,1.25e-06,0.000386837,1.15e-28,4.142857143
GPB Scientific,United States,North America,Biotechnology,1,9898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
VaxInnate Corporation,United States,North America,Pharmaceuticals / Drugs,1,9899,289.0,26.0,88.0,1775.0,23.0,268.0,0.355072464,0.103325644,0.21751026,1657.6,1275.585714,1429.652381,0.422135174,0.332414879,0.366808299,0.028261797,8.38e-05,0.001663872,0.002592778,0.000237179,0.000706616,0.029847868,7.37e-05,0.001696501,0.062119819,0.004937935,0.01716457,114.9615385,94.1384083,102.8863636,3,86.0,1334.0,0.653625171,68.0,1132.392857,0.378426012,0.000129497,0.000416202,0.016608407,149.3255814
LineaGen Research,United States,North America,Medical Devices & Equipment,1,9900,39.0,39.0,39.0,172.0,172.0,172.0,0.142642643,0.142642643,0.142642643,1471.853571,1471.853571,1471.853571,0.264090595,0.264090595,0.264090595,0.00468915,0.00468915,0.00468915,0.000824645,0.000824645,0.000824645,0.004665545,0.004665545,0.004665545,0.000149224,0.000149224,0.000149224,14.41025641,14.41025641,14.41025641,1,129.0,,1.0,129.0,2012.709524,0.374560334,0.0,0.000246146,0.009034308,209.9612403
TauRx Therapeutics,Singapore,Asia,Drug Discovery,1,9903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Amynon Biotech,Austria,Europe,Medical Equipment & Supplies,1,9909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0,,0.0,1.0,1.0,0.000482625,0.0,0.000482393,3.7400000000000003e-57,1.0
Targanta Therapeutics,United States,North America,Pharmaceuticals / Drugs,1,9910,340.0,14.0,61.0,2154.0,2.0,196.0,0.46969697,0.098473018,0.200042315,1347.419048,905.4190476,1074.219048,0.406329986,0.293985126,0.339791617,0.018997029,3.33e-05,0.001572077,0.003279677,0.000212101,0.000864221,0.020167055,2.47e-05,0.001570089,0.125102334,0.002622719,0.011157793,106.5714286,47.26315789,70.60294118,11,133.0,117.0,0.279790385,51.0,907.2595238,0.393553437,0.006643862,0.001295819,0.04907816,100.8947368
iLIANT Corporation,United States,North America,Medical Facilities & Services,1,9911,19.0,10.0,16.0,2286.0,438.0,1911.0,0.505494505,0.308823529,0.333333333,1000.235714,907.552381,955.6785714,0.321017319,0.296765916,0.307348086,0.001055773,7.19e-05,0.000423618,0.00027178,0.000224575,0.000235512,0.001145152,5.68e-05,0.000410949,0.005505598,0.00167683,0.003841246,82.57894737,52.9,69.9375,3,9.0,1058.0,0.388888889,7.0,676.302381,0.304661137,9.91e-05,0.000199809,0.002081727,67.77777778
Synvista Therapeutics,United States,North America,Pharmaceuticals / Drugs,1,9912,334.0,29.0,189.5,2039.0,4.0,38.5,0.686609687,0.098182014,0.1730303725,1371.935714,1015.852381,1203.4357145,0.420263788,0.323000267,0.3718780145,0.026932016,8.31e-06,0.0042394354999999995,0.003340915,0.000266118,0.0015946705,0.028500899,7.3e-06,0.004415311,0.120220312,0.019416922,0.081131579,135.9655172,70.53571429,78.084571695,10,131.0,348.0,0.408338227,57.0,887.4761905,0.382756474,0.001093154,0.001069557,0.057667772,112.2977099
Cranium Telemetrics,Germany,Europe,Medical Devices & Equipment,1,9913,9.0,9.0,9.0,636.0,636.0,636.0,0.714285714,0.714285714,0.714285714,718.9833333,718.9833333,718.9833333,0.236797519,0.236797519,0.236797519,2.76e-05,2.76e-05,2.76e-05,0.000261042,0.000261042,0.000261042,1.35e-05,1.35e-05,1.35e-05,7.49e-05,7.49e-05,7.49e-05,14.77777778,14.77777778,14.77777778,1,3.0,,1.0,3.0,510.2369048,0.236529334,0.0,0.000208635,3.55e-05,15.66666667
Proteaxis,France,Europe,Medical Facilities & Services,1,9914,6.0,2.0,5.0,1167.0,840.0,1003.5,1.0,0.333333333,0.666666667,631.7404762,507.0087302,508.1753968,0.210244545,0.170400242,0.170474313,0.004918822,0.0,7.06e-07,0.000356704,0.000180243,0.000319195,0.004918822,0.0,7.06e-07,4.18e-06,4.73e-08,4.84e-08,5.5,4.0,5.333333333,3,3.0,1216.0,0.666666667,2.0,438.2345238,0.204276535,0.000452563,0.000353734,2.46e-06,4.666666667
Sirenade,Germany,Europe,Drug Development,1,9915,56.0,1.0,26.0,1150.0,139.0,221.0,0.274633124,0.0,0.193333333,1073.252381,591.1972222,853.1690476,0.341121622,0.19765283,0.277352304,0.008892236,0.0,0.001829513,0.001010289,8.98e-05,0.000615229,0.009066707,0.0,0.00165159,0.013028384,2e-06,0.000572317,62.64285714,6.0,19.33333333,6,42.0,183.0,0.386759582,19.0,699.1166667,0.312367486,0.001492906,0.000709078,0.003019314,43.0952381
Targeted Growth,United States,North America,Biotechnology,1,9917,25.0,3.0,14.0,1586.0,469.0,1027.5,0.263333333,0.0,0.1316666665,1040.919048,734.5952381,887.75714305,0.332964051,0.2429589,0.2879614755,0.001278969,0.0,0.0006394845,0.000408369,0.000113718,0.0002610435,0.00117542,0.0,0.00058771,0.0085783,9.7e-05,0.00433765,90.92,9.333333333,50.1266666665,2,16.0,967.0,1.0,16.0,651.6107143,0.294025444,0.0,0.000271377,0.001580422,40.9375
HTG Molecular Diagnostics,United States,North America,Medical Facilities & Services,1,9918,8.0,1.0,1.0,702.0,702.0,702.0,0.266666667,0.0,0.0,875.5238095,1.5,650.7547619,0.286923174,0.000457404,0.217493017,0.001848296,0.0,0.0,0.000339351,9.29e-05,0.000250969,0.001848296,0.0,0.0,0.000988768,3.1e-24,1.11e-05,41.75,2.0,8.0,3,3.0,,1.0,3.0,587.3107143,0.271166493,0.0,0.000210229,0.000258948,29.66666667
Spineology,United States,North America,Medical Devices & Equipment,1,9920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
PhaseBio Pharmaceuticals,United States,North America,Drug Development,1,9921,432.0,7.0,78.5,2144.0,13.0,242.0,0.666666667,0.078126525,0.20503613249999997,2158.883333,1476.32619,1798.333333,0.409869753,0.29671261,0.35241853700000003,0.024632678,1.28e-06,0.0018045415,0.002618922,7.7e-05,0.0005083189999999999,0.026432948,1.05e-06,0.0017515585,0.060521315,0.000866834,0.0136931535,155.4782609,87.78461538,107.695,6,128.0,1080.0,0.43417815,83.0,1690.67619,0.38867156,0.000987774,0.000371353,0.013436584,201.265625
Neurion Pharmaceuticals,United States,North America,Biotechnology,1,9924,2.0,2.0,2.0,1998.0,1998.0,1998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000253421,0.000253421,0.000253421,0.0,0.0,0.0,2.2600000000000003e-27,2.2600000000000003e-27,2.2600000000000003e-27,1.0,1.0,1.0,1,,,,,,,,,,
Glycanova,Norway,Europe,Pharmaceuticals / Drugs,1,9926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,1224.0,1.0,2.0,2.0,0.000965251,0.0,0.000482393,1.61e-51,2.0
Agilix Corporation,United States,North America,Biotechnology,1,9929,168.0,8.0,54.5,2265.0,36.0,291.0,0.678571429,0.131313131,0.25672984050000003,1236.885714,906.2904762,1093.835714,0.385557422,0.294721561,0.3467830635,0.009962282,4.25e-06,0.001213385,0.001777365,0.000136969,0.0006290095,0.010228031,3.17e-06,0.0011689855000000002,0.064161158,0.002104281,0.017803028999999998,96.04918033,63.96153846,77.47916666500001,8,72.0,465.0,0.356807512,45.0,866.5428571,0.384770982,0.000756163,0.000662077,0.026565061,104.6527778
Symbiontics,,,Biotechnology,1,9930,8.0,8.0,8.0,,,,0.5,0.5,0.5,792.9642857,792.9642857,792.9642857,0.256968106,0.256968106,0.256968106,0.000123768,0.000123768,0.000123768,0.00020082,0.00020082,0.00020082,6.15e-05,6.15e-05,6.15e-05,0.001052787,0.001052787,0.001052787,29.5,29.5,29.5,1,3.0,,1.0,3.0,556.9440476,0.256694124,0.0,0.000137172,0.000107408,17.33333333
CytRx Corporation,United States,North America,Biotechnology,1,9931,501.0,35.0,180.0,3359.0,3.0,75.0,0.848484848,0.09150027,0.267025447,1829.22619,1315.778571,1563.959524,0.404261756,0.307801683,0.355592304,0.014910585,5.28e-07,0.000907606,0.002724577,0.000185044,0.000884324,0.015836331,5.42e-07,0.000892452,0.119254907,0.017383847,0.067160852,199.0757576,86.5748503,126.5447761,27,158.0,1085.0,0.652100298,89.0,1275.945238,0.370563024,0.000164581,0.000523705,0.035597508,183.4367089
Tapestry Pharmaceuticals,United States,North America,Biotechnology,1,9932,64.0,64.0,64.0,234.0,234.0,234.0,0.246959281,0.246959281,0.246959281,1146.919048,1146.919048,1146.919048,0.364137565,0.364137565,0.364137565,0.001712903,0.001712903,0.001712903,0.000738831,0.000738831,0.000738831,0.00172922,0.00172922,0.00172922,0.024123953,0.024123953,0.024123953,102.015625,102.015625,102.015625,1,12.0,1388.0,1.0,12.0,700.2357143,0.314463552,0.0,0.000186076,0.003664789,84.91666667
3D Molecular,United Kingdom,Europe,Biotechnology,1,9933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
*Acri.Tec,Germany,Europe,Medical Devices & Equipment,1,9934,9.0,9.0,9.0,636.0,636.0,636.0,0.714285714,0.714285714,0.714285714,718.9833333,718.9833333,718.9833333,0.236797519,0.236797519,0.236797519,2.76e-05,2.76e-05,2.76e-05,0.000261042,0.000261042,0.000261042,1.35e-05,1.35e-05,1.35e-05,7.49e-05,7.49e-05,7.49e-05,14.77777778,14.77777778,14.77777778,1,3.0,1264.0,1.0,3.0,510.2369048,0.236529334,0.0,0.000208635,3.55e-05,15.66666667
