node,country,continent,industry,bipartite,id,closeness_centrality_max,closeness_centrality_min,closeness_centrality_median,newman_betweenness_centrality_max,newman_betweenness_centrality_min,newman_betweenness_centrality_median,clustering_max,clustering_min,clustering_median,eigenvector_centrality_max,eigenvector_centrality_min,eigenvector_centrality_median,average_neighbor_degree_max,average_neighbor_degree_min,average_neighbor_degree_median,deg_max,deg_min,deg_median,pagerank_max,pagerank_min,pagerank_median,harmonic_centrality_max,harmonic_centrality_min,harmonic_centrality_median,betweenness_centrality_max,betweenness_centrality_min,betweenness_centrality_median,num_inv,closeness_centralityorg,core_numberorg,clusteringorg,eigenvector_centralityorg,average_neighbor_degreeorg,degorg,pagerankorg,harmonic_centralityorg,newman_betweenness_centralityorg
StylaCats,United Kingdom,Europe,Drug Development,1,8310,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.239540068,1.0,0.0,1.63e-05,24.0,1.0,7.69e-05,592.3892857,0.0
Frimorfo,Switzerland,Europe,Medical Facilities & Services,1,8316,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Team Health Holdings,United States,North America,Medical Facilities & Services,1,8322,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
The Genetics,Switzerland,Europe,Biotechnology,1,8359,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Oxxon Therapeutics,United Kingdom,Europe,Biotechnology,1,8378,0.342522632,0.290346904,0.325862489,0.001924719,5.27e-05,0.000448412,0.476190476,0.164835165,0.424501425,0.00965489,0.000486491,0.005304917,108.0588235,32.42857143,80.1372549,51.0,7.0,27.0,0.000521079,0.000144269,0.000341946,1213.745238,1000.642857,1145.645238,0.001862502,4.46e-05,0.000406724,5,0.337033807,12.0,0.283333333,0.002688258,92.5625,16.0,0.000238489,862.5428571,0.000651816
Laxdale,United Kingdom,Europe,Pharmaceuticals / Drugs,1,8391,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
DJO,United States,North America,Medical Devices & Equipment,1,8411,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Neurotargets,United Kingdom,Europe,Biotechnology,1,8413,0.328983356,0.328983356,0.328983356,0.000380973,0.000380973,0.000380973,0.586206897,0.586206897,0.586206897,0.00377741,0.00377741,0.00377741,84.0,84.0,84.0,31.0,31.0,31.0,0.000316654,0.000316654,0.000316654,1261.366667,1261.366667,1261.366667,0.000284186,0.000284186,0.000284186,1,0.299330259,6.0,1.0,0.000413826,63.66666667,6.0,0.000124712,863.8190476,0.0
Pelias Technologies,United States,North America,Pharmaceuticals / Drugs,1,8414,0.360822404,0.358095626,0.35834754,0.004548796,0.001121474,0.001231613,0.301270417,0.133693694,0.290163934,0.032834789,0.023932055,0.025266314,86.6984127,60.29333333,81.48333333,75.0,60.0,63.0,0.001103417,0.000754625,0.000766136,997.7428571,989.2333333,993.2833333,0.004460127,0.001057839,0.001141374,3,0.34040364,24.0,0.538461538,0.008776545,79.07692308,26.0,0.000388988,633.0333333,7.59e-05
Converge Medical,United States,North America,Medical Devices & Equipment,1,8478,0.37468998,0.319017397,0.344183127,0.004428109,0.001281096,0.003782688,0.197580645,0.123137255,0.1737646,0.035173951,0.005812407,0.009814356,62.44444444,42.38235294,50.54901961,108.0,34.0,51.0,0.001399498,0.000560842,0.000919382,1042.316667,871.8095238,948.7833333,0.004197751,0.001172985,0.003655126,4,0.355640677,28.0,0.412517781,0.01405082,74.68421053,38.0,0.00055175,660.2,0.000480186
Pharma Interactive,Sweden,Europe,Healthcare Software,1,8494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55e-25,1.55e-25,1.55e-25,1.0,1.0,1.0,2.0,2.0,2.0,0.000468384,0.000468384,0.000468384,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,
Oped,Switzerland,Europe,Medical Devices & Equipment,1,8503,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
NovusPharma,Italy,Europe,Biotechnology,1,8508,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Netdoktor Media,Denmark,Europe,Healthcare Software,1,8515,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Cadent,United States,North America,Dental Products & Services,1,8525,0.419943139,0.242422857,0.3470454425,0.028847959,0.000165319,0.0037739469999999997,0.388888889,0.101571063,0.20682228,0.13238266,9.1e-05,0.0156381835,115.8888889,10.0,67.7847465,323.0,7.0,51.0,0.003938594,0.000229202,0.0008288465,1209.55,645.25,949.57976175,0.031207067,0.000102216,0.0037772975,4,0.3758279,40.0,0.487019231,0.026291321,83.90769231,65.0,0.000964951,703.45,0.004634918
Impliant,United States,North America,Medical Devices & Equipment,1,8526,0.388922335,0.00039093,0.275309298,0.010707562,0.0,0.000650435,0.277777778,0.0,0.146778711,0.045960465,1.17e-24,0.000626628,71.01666667,1.0,21.11111111,120.0,1.0,9.0,0.001706305,0.000381687,0.000390778,1077.366667,1.0,734.3190476,0.010621549,0.0,0.000535361,3,0.341193806,17.0,0.532608696,0.008729862,71.20833333,24.0,0.000659373,627.8333333,0.004517732
Benedetti International,United Kingdom,Europe,Medical Equipment & Supplies,1,8547,0.380677052,0.380677052,0.380677052,0.042367799,0.042367799,0.042367799,0.061390441,0.061390441,0.061390441,0.014644799,0.014644799,0.014644799,41.6,41.6,41.6,180.0,180.0,180.0,0.002936079,0.002936079,0.002936079,1373.666667,1373.666667,1373.666667,0.043020601,0.043020601,0.043020601,1,0.35604114,91.0,1.0,0.013569333,117.2197802,91.0,0.00064166,936.9666667,0.0
Ponsus Pharma,Sweden,Europe,Pharmaceuticals / Drugs,1,8577,0.370211166,0.370211166,0.370211166,0.008065437,0.008065437,0.008065437,0.179746835,0.179746835,0.179746835,0.021409585,0.021409585,0.021409585,98.85365854,98.85365854,98.85365854,82.0,82.0,82.0,0.000940531,0.000940531,0.000940531,1314.35,1314.35,1314.35,0.008228912,0.008228912,0.008228912,1,0.338244644,22.0,1.0,0.004288656,93.5,22.0,0.000226694,872.5428571,0.0
Advaxis,United States,North America,Biotechnology,1,8606,0.323484044,0.323484044,0.323484044,0.000500851,0.000500851,0.000500851,0.561419753,0.561419753,0.561419753,0.032733315,0.032733315,0.032733315,188.962963,188.962963,188.962963,81.0,81.0,81.0,0.000387919,0.000387919,0.000387919,1527.765476,1527.765476,1527.765476,0.00047406,0.00047406,0.00047406,1,0.281773828,10.0,1.0,0.000528147,57.8,10.0,0.000126075,1042.471429,0.0
Innate Pharma,France,Europe,Biotechnology,1,8627,0.375678653,0.309894113,0.339764906,0.003047799,0.000322749,0.002570542,0.428571429,0.301564723,0.362745098,0.048150758,0.005455939,0.012670488,85.95774648,37.42857143,56.2,71.0,28.0,40.0,0.00113216,0.000572757,0.000799493,866.4333333,703.5,781.0333333,0.003101248,0.000257204,0.002544956,3,0.331686226,18.0,0.549707602,0.016110435,75.89473684,19.0,0.000451183,472.9666667,0.000111744
Onsite Dental,United States,North America,Dental Products & Services,1,8629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9199999999999998e-30,2.9199999999999998e-30,2.9199999999999998e-30,1.0,1.0,1.0,2.0,2.0,2.0,0.000102365,0.000102365,0.000102365,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,
Alantos Pharmaceuticals Holding,United States,North America,Biotechnology,1,8631,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Atlantis Components,United States,North America,Medical Devices & Equipment,1,8632,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
CardioNow,United States,North America,Medical Facilities & Services,1,8633,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
CoTherix,United States,North America,Pharmaceuticals / Drugs,1,8634,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Extended Care Information Network,United States,North America,Medical Facilities & Services,1,8635,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Eyetech Pharmaceuticals,United States,North America,Biotechnology,1,8636,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
VetCentric,United States,North America,Medical Facilities & Services,1,8637,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Guava Technologies,United States,North America,Drug Discovery,1,8639,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Intrinsic Therapeutics,United States,North America,Medical Devices & Equipment,1,8640,0.414813541,0.344882213,0.379847877,0.031608687,0.000521623,0.016065155,0.294294294,0.079592607,0.1869434505,0.071523034,0.01192947,0.041726252,73.74358974,58.14344262,65.94351618,244.0,39.0,141.5,0.003468218,0.000550898,0.002009558,1172.233333,944.05,1058.1416665,0.033974161,0.000511106,0.0172426335,2,0.347321105,36.0,0.715393134,0.014547289,81.93023256,43.0,0.000565099,652.3833333,0.000106131
ISTO Technologies,United States,North America,Biotechnology,1,8641,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
MannKind,United States,North America,Biotechnology,1,8642,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
ChipScreen Biosciences,China,Asia,Drug Discovery,1,8646,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Trana Discovery,United States,North America,Drug Discovery,1,8647,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
BioBridge Computing,Sweden,Europe,Drug Development,1,8648,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Cypro,Belgium,Europe,Medical Facilities & Services,1,8650,0.000937207,0.000624805,0.000781006,4.39e-07,0.0,2.195e-07,0.0,0.0,0.0,2.72e-22,1.21e-22,1.965e-22,4.0,2.0,3.0,4.0,1.0,2.5,0.000682789,0.000263723,0.000473256,2.0,1.5,1.75,4.39e-07,0.0,2.195e-07,3,0.215099318,1.0,0.0,9.04e-05,11.0,1.0,0.000154653,295.4309524,0.0
Analyte Works,Israel,Asia,Medical Equipment & Supplies,1,8651,0.001507874,0.001507874,0.001507874,2.45e-06,2.45e-06,2.45e-06,0.0,0.0,0.0,4.87e-19,4.87e-19,4.87e-19,2.5,2.5,2.5,4.0,4.0,4.0,0.000445109,0.000445109,0.000445109,4.666666667,4.666666667,4.666666667,2.45e-06,2.45e-06,2.45e-06,1,0.002835384,3.0,1.0,4.89e-79,4.0,3.0,0.00056789,6.083333333,0.0
C-takt,Sweden,Europe,Healthcare Software,1,8652,0.269771139,0.208009056,0.2388900975,0.002960939,0.0,0.0014804695,0.090909091,0.0,0.0454545455,0.000150779,1.45e-06,7.61145e-05,19.23076923,5.333333333,12.2820512815,13.0,3.0,8.0,0.00053195,0.000146403,0.0003391765,929.1095238,701.6464286,815.3779762,0.002863606,0.0,0.001431803,3,0.268798686,19.0,0.779220779,0.00017919,27.54545455,22.0,0.000423573,686.3761905,0.00011971
dentognostics,Germany,Europe,Medical Devices & Equipment,1,8653,0.319135464,0.236122615,0.2776290395,0.004967736,0.0,0.002483868,0.160676533,0.0,0.0803382665,0.002319125,1.98e-05,0.0011694625,39.02173913,16.33333333,27.67753623,46.0,3.0,24.5,0.000803395,9.94e-05,0.00045139750000000004,1224.816667,877.997619,1051.407143,0.004840379,0.0,0.0024201895,3,0.306305087,24.0,0.92,0.000821967,65.8,25.0,0.000318495,891.602381,0.000696882
ErySave,Sweden,Europe,Medical Devices & Equipment,1,8654,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.000755287,1.0,0.0,3.19e-108,1.0,1.0,0.000754717,1.0,0.0
Heart Trends,Israel,Asia,Medical Equipment & Supplies,1,8657,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
M.E.L.,Netherlands,Europe,Drug Delivery,1,8658,0.307391828,0.307391828,0.307391828,5.19e-05,5.19e-05,5.19e-05,0.637362637,0.637362637,0.637362637,0.01037391,0.01037391,0.01037391,91.14285714,91.14285714,91.14285714,14.0,14.0,14.0,0.000265815,0.000265815,0.000265815,705.6880952,705.6880952,705.6880952,4.26e-05,4.26e-05,4.26e-05,1,,,,,,,,,
Medimania,France,Europe,Healthcare Software,1,8660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55e-25,1.55e-25,1.55e-25,1.0,1.0,1.0,2.0,2.0,2.0,0.000468384,0.000468384,0.000468384,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,
osmed,Germany,Europe,Biotechnology,1,8662,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PDxMD,United States,North America,Healthcare Software,1,8663,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
PerfectPractice.MD,United States,North America,Healthcare Software,1,8664,0.296691143,0.296691143,0.296691143,0.000343609,0.000343609,0.000343609,0.527777778,0.527777778,0.527777778,0.001664885,0.001664885,0.001664885,49.88888889,49.88888889,49.88888889,9.0,9.0,9.0,0.000269645,0.000269645,0.000269645,665.3547619,665.3547619,665.3547619,0.000306212,0.000306212,0.000306212,2,0.207946754,3.0,1.0,1.03e-05,5.666666667,3.0,0.000336905,285.4333333,0.0
Redcord,Norway,Europe,Medical Devices & Equipment,1,8665,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
RNA TEC,Belgium,Europe,Biotechnology,1,8666,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Aldagen,Israel,Asia,Pharmaceuticals / Drugs,1,8668,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Cardiodigital,United Kingdom,Europe,Medical Devices & Equipment,1,8669,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
BSML,United States,North America,Medical Facilities & Services,1,8670,0.379675234,0.299492073,0.3196284895,0.006817713,1.59e-05,0.0004613045,0.79047619,0.224381318,0.54018759,0.092058679,0.012190393,0.0148865135,82.23529412,65.225,79.787859825,154.0,17.0,28.5,0.001993501,0.000270977,0.00048656649999999997,903.8428571,683.1714286,731.79880955,0.006841249,1.26e-05,0.0004022885,6,0.290560943,11.0,0.560606061,0.002105205,31.75,12.0,0.000374629,410.5833333,6.4e-05
LifeSpan BioSciences,United States,North America,Biotechnology,1,8671,0.403841268,0.278914793,0.3413780305,0.017755654,0.0,0.008877827,1.0,0.12484521,0.562422605,0.08745316,0.001330897,0.0443920285,60.16753927,43.4,51.783769635,191.0,5.0,98.0,0.002927667,0.000181123,0.001554395,957.8095238,624.6559524,791.2327381,0.018847055,0.0,0.0094235275,2,0.341453673,28.0,1.0,0.018090389,89.92857143,28.0,0.000594726,492.0833333,0.0
NaviNet,United States,North America,Healthcare Software,1,8672,0.396549689,0.28656652,0.30925858500000003,0.024006541,5.15e-05,0.000329803,0.533333333,0.0,0.276890756,0.038902073,0.000855649,0.0055526865,67.83333333,42.13924051,49.22857143,158.0,5.0,21.5,0.003066367,0.000174442,0.000422409,932.9333333,639.9761905,703.8553571499999,0.023330973,3.29e-05,0.000260921,6,0.361291455,33.0,0.599365751,0.030967934,70.52272727,44.0,0.00094023,521.55,0.001447111
Corautus Genetics,United States,North America,Biotechnology,1,8673,0.381280805,0.295463032,0.359004631,0.004343166,6.62e-05,0.0024908739999999997,0.594771242,0.217267694,0.2618603945,0.113435697,0.007539753,0.046230786499999996,74.37951807,46.65,66.49576923000001,166.0,20.0,89.0,0.002177725,0.000360028,0.0012374735,910.8095238,675.4892857,842.9654762,0.004610992,4.26e-05,0.002369011,4,0.314534889,12.0,0.807692308,0.005812397,66.92307692,13.0,0.000352898,447.4166667,1.1e-05
Profos,Germany,Europe,Disease Diagnosis,1,8674,0.309502197,0.309502197,0.309502197,0.013023922,0.013023922,0.013023922,0.117241379,0.117241379,0.117241379,0.003519847,0.003519847,0.003519847,23.59375,23.59375,23.59375,32.0,32.0,32.0,0.001264593,0.001264593,0.001264593,705.1880952,705.1880952,705.1880952,0.013062859,0.013062859,0.013062859,1,0.295262327,16.0,1.0,0.005866811,37.875,16.0,0.000595273,417.85,0.0
Tigran,Sweden,Europe,Dental Products & Services,1,8675,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Emageon,United States,North America,Internet Software & Services,1,8677,0.308776975,0.239192217,0.239225619,0.006684509,2.17e-05,2.18e-05,0.733333333,0.124777184,0.7166666665,0.002516019,0.000118111,0.000120351,22.05555556,14.0,18.0,36.0,5.0,6.0,0.001037882,0.000219703,0.000252629,702.5785714,532.4440476,532.9440476,0.006372155,1.76e-05,1.76e-05,8,0.293394563,7.0,0.611111111,0.002040614,28.33333333,9.0,0.00045235,410.7166667,0.000594812
Brench Pharma,Germany,Europe,Pharmaceuticals / Drugs,1,8679,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Maxstor,Portugal,Europe,Healthcare Software,1,8680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55e-25,1.55e-25,1.55e-25,1.0,1.0,1.0,2.0,2.0,2.0,0.000468384,0.000468384,0.000468384,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,
NCE,United States,North America,Drug Development,1,8681,0.354824908,0.354824908,0.354824908,0.000379535,0.000379535,0.000379535,0.612698413,0.612698413,0.612698413,0.027193868,0.027193868,0.027193868,92.52631579,92.52631579,92.52631579,38.0,38.0,38.0,0.000578829,0.000578829,0.000578829,814.0547619,814.0547619,814.0547619,0.000341817,0.000341817,0.000341817,2,0.284981816,2.0,1.0,0.000991474,63.0,2.0,0.000149557,395.15,0.0
ProCorde,Germany,Europe,Drug Development,1,8685,0.366986859,0.244657906,0.309502197,0.033168214,0.000868042,0.013023922,0.4,0.07000529,0.117241379,0.016971932,0.000153276,0.003519847,31.07476636,11.0,23.59375,107.0,8.0,32.0,0.003189545,0.000361587,0.001264593,858.6333333,544.4047619,705.1880952,0.033308757,0.000857395,0.013062859,4,0.340722061,65.0,0.579417773,0.095081948,61.07865169,89.0,0.001963291,509.7666667,0.011124571
pes,Germany,Europe,Medical Equipment & Supplies,1,8690,0.230316571,0.230316571,0.230316571,0.003354701,0.003354701,0.003354701,0.166666667,0.166666667,0.166666667,4.95e-05,4.95e-05,4.95e-05,8.333333333,8.333333333,8.333333333,6.0,6.0,6.0,0.000532236,0.000532236,0.000532236,509.9309524,509.9309524,509.9309524,0.003354701,0.003354701,0.003354701,2,0.22406179,5.0,1.0,9.14e-05,8.8,5.0,0.000522907,310.0428571,0.0
GeneFormatics,United States,North America,Biotechnology,1,8693,0.411011194,0.286183538,0.35172000999999997,0.017232404,0.000568824,0.0013863745,0.429487179,0.126130304,0.318063187,0.125751965,0.002062933,0.026391480499999998,94.68115942,41.25,63.31614035,228.0,8.0,58.5,0.003246704,0.000301182,0.0009223025,982.8095238,644.322619,816.2428571,0.018577969,0.000523333,0.0013681535000000002,8,0.372785992,30.0,0.294871795,0.024272661,66.53846154,52.0,0.001195598,539.3,0.003117378
Sutura,United States,North America,Medical Equipment & Supplies,1,8694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55e-25,1.55e-25,1.55e-25,1.0,1.0,1.0,2.0,2.0,2.0,0.000468384,0.000468384,0.000468384,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,
MedCenterDirect,United States,North America,Medical Equipment & Supplies,1,8695,0.424033331,0.297515571,0.360774451,0.041572142,3.6e-05,0.020804071,0.711111111,0.077686852,0.3943989815,0.080032386,0.001939225,0.0409858055,50.79324895,46.6,48.696624475,237.0,10.0,123.5,0.004239675,0.000279053,0.002259364,1004.42619,668.9440476,836.6851188,0.044575162,2.74e-05,0.022301281,3,0.341035225,30.0,1.0,0.011674677,71.3,30.0,0.000655685,493.7,0.0
CAS Medical Systems,United States,North America,Medical Devices & Equipment,1,8698,0.326557698,0.326557698,0.326557698,0.001078429,0.001078429,0.001078429,0.18907563,0.18907563,0.18907563,0.011102858,0.011102858,0.011102858,121.1647059,121.1647059,121.1647059,85.0,85.0,85.0,0.000443436,0.000443436,0.000443436,2203.355952,2203.355952,2203.355952,0.001060529,0.001060529,0.001060529,1,0.324374155,28.0,1.0,0.001521802,152.6071429,,6.91e-05,2071.772619,0.0
XIFIN,United States,North America,Internet Software & Services,1,8700,0.368249067,0.267086788,0.333481537,0.005039038,7.62e-07,0.000453122,0.478947368,0.0,0.160096154,0.024552919,0.000489094,0.010219082,76.31818182,22.75,60.4,65.0,4.0,22.0,0.001242441,0.000144344,0.000418144,851.3095238,592.9892857,762.2761905,0.005066382,6.06e-07,0.000384861,3,0.316682496,14.0,0.561904762,0.004255677,57.73333333,15.0,0.00040643,452.95,5.08e-05
Natural Clinic,Netherlands,Europe,Medical Facilities & Services,1,8701,0.336164572,0.336164572,0.336164572,0.001707359,0.001707359,0.001707359,0.56984127,0.56984127,0.56984127,0.016962402,0.016962402,0.016962402,65.13157895,65.13157895,65.13157895,38.0,38.0,38.0,0.000678372,0.000678372,0.000678372,773.6928571,773.6928571,773.6928571,0.001589234,0.001589234,0.001589234,2,0.274849129,8.0,1.0,0.003390875,31.25,8.0,0.000369601,386.8166667,0.0
Indegene Pharmaceutical Solutions,United States,North America,Medical Facilities & Services,1,8702,0.392461548,0.20109105,0.30397966649999997,0.011892207,1.74e-06,0.005548897,0.666666667,0.1,0.19047619049999998,0.032781427,3.81e-06,0.0050586835,61.58441558,5.0,47.5,121.0,5.0,22.5,0.002252688,0.000149179,0.0005711655,913.1666667,443.6242063,688.26309525,0.012055916,1.55e-06,0.0055234315,6,0.372785992,31.0,0.483408748,0.021561913,66.36538462,52.0,0.001237575,539.5,0.005322425
La Jolla Pharmaceutical Company,United States,North America,Drug Discovery,1,8705,0.424453582,0.343374355,0.388192762,0.029209154,0.000526956,0.009789675,0.425589226,0.108216666,0.227846519,0.147634715,0.035237656,0.074887058,92.46969697,60.52721088,72.49606299,294.0,57.0,127.0,0.004369804,0.000808809,0.001925832,1019.459524,801.1261905,910.0261905,0.031551967,0.000515022,0.009963728,7,0.38108147,40.0,0.415088927,0.045277105,72.28571429,84.0,0.001661166,561.0666667,0.002642277
Kelman Gesellschaft,Germany,Europe,Biotechnology,1,8706,0.309502197,0.309502197,0.309502197,0.013023922,0.013023922,0.013023922,0.117241379,0.117241379,0.117241379,0.003519847,0.003519847,0.003519847,23.59375,23.59375,23.59375,32.0,32.0,32.0,0.001264593,0.001264593,0.001264593,705.1880952,705.1880952,705.1880952,0.013062859,0.013062859,0.013062859,2,,,,,,,,,
Applied Nanosystems,Netherlands,Europe,Biotechnology,1,8708,0.366986859,0.260388305,0.313687582,0.033168214,0.0,0.016584107,0.07000529,0.0,0.035002645,0.016971932,0.000235422,0.008603676999999999,107.0,31.07476636,69.03738318,107.0,1.0,54.0,0.003189545,9.57e-05,0.0016426225,858.6333333,579.5285714,719.08095235,0.033308757,0.0,0.0166543785,3,0.331686226,65.0,1.0,0.093182674,76.83076923,65.0,0.00112436,488.4333333,0.0
GenPat77 Pharmacogenetics,Germany,Europe,Pharmaceuticals / Drugs,1,8709,0.366986859,0.309502197,0.338244528,0.033168214,0.013023922,0.023096068,0.117241379,0.07000529,0.0936233345,0.016971932,0.003519847,0.010245889499999999,31.07476636,23.59375,27.33425818,107.0,32.0,69.5,0.003189545,0.001264593,0.002227069,858.6333333,705.1880952,781.91071425,0.033308757,0.013062859,0.023185808000000002,2,0.331686226,65.0,1.0,0.093182674,76.83076923,65.0,0.00112436,488.4333333,0.0
MEL,France,Europe,Biotechnology,1,8710,0.366986859,0.366986859,0.366986859,0.033168214,0.033168214,0.033168214,0.07000529,0.07000529,0.07000529,0.016971932,0.016971932,0.016971932,31.07476636,31.07476636,31.07476636,107.0,107.0,107.0,0.003189545,0.003189545,0.003189545,858.6333333,858.6333333,858.6333333,0.033308757,0.033308757,0.033308757,3,0.331686226,65.0,1.0,0.093182674,76.83076923,65.0,0.00112436,488.4333333,0.0
Virtual Genetics,Sweden,Europe,Drug Development,1,8711,0.203988409,0.166174669,0.18508153900000002,0.000839664,0.0,0.000419832,0.333333333,0.0,0.1666666665,3.94e-06,5.47e-08,1.99735e-06,5.0,3.6,4.3,5.0,1.0,3.0,0.000458755,0.000168346,0.00031355049999999996,448.0511905,361.447619,404.74940475,0.000839664,0.0,0.000419832,3,0.200782643,1.0,0.0,2.16e-05,4.0,1.0,0.000205078,275.4190476,0.0
Calscience International,United Kingdom,Europe,Biotechnology,1,8712,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.207239189,6.0,1.0,2.9e-07,9.5,6.0,0.000125085,1050.849206,0.0
Azyx,Belgium,Europe,Healthcare Software,1,8714,0.336164572,0.000624805,0.279688924,0.001707359,0.0,0.000860129,0.56984127,0.0,0.357142857,0.016962402,1.21e-22,0.000826572,65.13157895,4.0,32.125,38.0,1.0,8.0,0.000678372,0.000263723,0.000313863,773.6928571,1.5,624.6619048,0.001589234,0.0,0.000855649,5,0.280953804,8.0,0.618181818,0.006168703,37.45454545,11.0,0.000536185,397.3833333,0.001468375
Algodyne,Israel,Asia,Medical Devices & Equipment,1,8715,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
Anthos Labtec,Austria,Europe,Disease Diagnosis,1,8716,0.366986859,0.248707122,0.262382395,0.033168214,4.66e-05,7.76e-05,0.333333333,0.07000529,0.333333333,0.016971932,0.000275467,0.000713808,34.66666667,24.6,31.07476636,107.0,3.0,5.0,0.003189545,0.000174483,0.000227198,858.6333333,557.7059524,584.6785714,0.033308757,3.24e-05,5.39e-05,4,0.331884011,65.0,0.94165536,0.09324863,74.6119403,67.0,0.00125613,489.4333333,0.001485828
aXicare,France,Europe,Healthcare Software,1,8717,0.271316861,0.208634108,0.2399754845,0.001516147,0.000681975,0.0010990610000000001,0.666666667,0.333333333,0.5,0.000489794,6.93e-06,0.000248362,24.5,3.8,14.15,8.0,5.0,6.5,0.000393539,0.000341167,0.000367353,604.7619048,457.9845238,531.3732143,0.001523482,0.000689311,0.0011063965000000001,4,0.187998475,1.0,0.0,1.74e-06,4.0,1.0,0.000208368,255.4071429,0.0
Beijing Bio-Ekon Biotech,China,Asia,Medical Equipment & Supplies,1,8718,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
MDI Source.com,United States,North America,Medical Equipment & Supplies,1,8719,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
MedCompany,Italy,Europe,Medical Equipment & Supplies,1,8720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55e-25,1.55e-25,1.55e-25,1.0,1.0,1.0,2.0,2.0,2.0,0.000468384,0.000468384,0.000468384,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,,,,
SoftMed,Spain,Europe,Healthcare Software,1,8721,0.208634108,0.169244681,0.18893939450000002,0.000839664,0.0,0.000419832,0.0,0.0,0.0,7.04e-06,9.91e-08,3.56955e-06,3.25,2.333333333,2.7916666665000003,4.0,3.0,3.5,0.000335076,0.000289515,0.00031229550000000004,456.2920635,367.2484127,411.77023810000003,0.000839664,0.0,0.000419832,3,0.193522075,1.0,0.0,1.47e-06,2.0,1.0,0.000271506,263.3428571,0.0
Thuris,United States,North America,Biotechnology,1,8723,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
